,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,job_id,q1,q10,q2,q3,q4,q5,q6,q7,q8,q9,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
0,9.5323,9.657,7.236,14.0,6.5,2.2333,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,50,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,A,A,B,A,A,A,A,A,A,A,50,1571056826.9776046,1571056877.0936134,2019-10-14 14:41:17.234118,19,A3GQR#####AQJY
1,9.5323,9.657,7.236,14.0,6.5,2.2333,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,74,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,A,A,B,A,A,A,A,A,A,A,74,1571058099.7746139,1571058173.405081,2019-10-14 15:02:53.590555,21,A3PKT#####WR97
2,10.6715,14.767,4.751,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,61,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,A,A,A,A,A,A,A,A,A,B,61,1571059155.66814,1571059216.1852503,2019-10-14 15:20:16.318304,24,A272X#####FYLB
3,10.2117,13.277,4.9885,14.0,6.5,2.2333,30.0,14.565,3.4167,14.5,2.565,-1.0875,15.425,122,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,A,A,B,A,A,B,A,A,B,B,122,1571087109.3821652,1571087231.0080872,2019-10-14 23:07:11.298969,23,AECDI#####BY2
4,8.6673,9.766,4.3035,7.0,6.5,13.0,10.22,14.565,5.16,14.5,2.015,-1.0875,14.8,9,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,B,A,A,B,A,A,A,B,B,A,9,1571308683.9779887,1571308693.3015094,2019-10-17 12:38:13.487918,29,A30UE#####UCWX
5,8.9341,9.384,5.7013,14.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,45,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,A,B,A,B,B,A,B,A,B,A,45,1571312179.106604,1571312224.2773488,2019-10-17 13:37:04.404593,53,A3V11#####S412
6,9.8479,13.37,3.1963,14.0,4.1583,2.2333,30.0,11.525,5.16,14.5,2.565,-1.0875,15.425,202,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,A,B,B,A,B,A,A,A,B,B,202,1571317194.9606786,1571317396.842664,2019-10-17 15:03:17.066652,42,A1578#####377Y
7,10.2617,12.137,6.2285,14.0,6.5,2.2333,30.0,14.565,3.4167,15.0,2.565,-1.0875,15.425,52,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,A,A,B,A,A,B,B,A,B,B,52,1571338307.3131049,1571338359.708873,2019-10-17 20:52:39.936866,37,A1LRJ#####32TM
8,10.1455,12.047,7.7772,14.0,4.1583,13.0,30.0,14.565,3.4167,14.5,2.015,-9.0,14.8,20,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,A,B,A,A,A,B,A,B,A,A,20,1571340590.1707973,1571340609.9597666,2019-10-17 21:30:10.425970,31,A3K3Z#####R0ZH
9,11.2161,11.957,7.6922,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,40,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,A,B,A,A,A,A,B,A,B,A,40,1571340641.9469373,1571340682.1284437,2019-10-17 21:31:22.293519,25,A2XUA#####1HQ5
