,exp_time_spent,exp_ultimatum_game_experience,job_id,time_spent,time_start,time_stop,timestamp,ultimatum_game_experience,worker_bonus,worker_id
0,9,0,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,9,1571056640.7348135,1571056649.4928644,2019-10-14 14:37:29.644311,0,0,A3GQR#####AQJY
1,10,0,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,10,1571057761.5566123,1571057771.9133933,2019-10-14 14:56:12.084031,0,0,A3PKT#####WR97
2,12,150,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,12,1571058991.567271,1571059003.4363348,2019-10-14 15:16:43.568116,150,0,A272X#####FYLB
3,8,1,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,8,1571086851.7750015,1571086860.0986023,2019-10-14 23:01:00.365157,1,0,AECDI#####BY2
4,8,0,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,8,1571308496.2135055,1571308503.7295485,2019-10-17 12:35:03.975994,0,0,A30UE#####UCWX
5,32,2,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,32,1571312074.7957606,1571312107.2830386,2019-10-17 13:35:07.381372,2,0,A3V11#####S412
6,25,3,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,25,1571316801.3732357,1571316826.0451071,2019-10-17 14:53:46.237145,3,0,A1578#####377Y
7,9,0,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,9,1571338130.9640791,1571338140.357464,2019-10-17 20:49:00.573802,0,0,A1LRJ#####32TM
8,22,6,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,22,1571340438.6688328,1571340461.1309106,2019-10-17 21:27:41.666611,6,0,A3K3Z#####R0ZH
9,11,0,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,11,1571340456.7381787,1571340467.7227407,2019-10-17 21:27:47.884128,0,0,A2XUA#####1HQ5
10,17,0,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,17,1571341380.718875,1571341397.898491,2019-10-17 21:43:18.233667,0,0,A2REV#####A1RR
