job_id,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q3,q30,q4,q5,q6,q7,q8,q9,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,-1,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,2,1,3,-2,-2,3,-3,3,3,3,1,-3,-3,-3,-1,3,-1,-1,65,-1,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,2,1,3,-2,-2,3,-3,3,3,3,1,-3,-3,-3,-1,3,-1,-1,115,115,1571056703.2731526,1571056817.8617537,2019-10-14 14:40:18.005459,0,A3GQR#####AQJY
3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,-2,2,-1,-1,-1,1,-1,2,-1,2,-1,-2,3,2,1,-2,-1,1,-3,-2,1,2,-1,-2,-3,-1,-1,3,-2,-2,32,-2,2,-1,-1,-1,1,-1,2,-1,2,-1,-2,3,2,1,-2,-1,1,-3,-2,1,2,-1,-2,-3,-1,-1,3,-2,-2,227,227,1571057864.3741043,1571058091.0037625,2019-10-14 15:01:31.347639,0,A3PKT#####WR97
3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,-3,3,-2,-3,-2,-1,-2,-1,1,1,-2,-3,2,1,1,-2,-2,3,-3,2,2,2,3,-1,-2,1,-2,2,1,2,46,-3,3,-2,-3,-2,-1,-2,-1,1,1,-2,-3,2,1,1,-2,-2,3,-3,2,2,2,3,-1,-2,1,-2,2,1,2,95,95,1571059054.0225487,1571059149.157679,2019-10-14 15:19:09.410585,0,A272X#####FYLB
3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,2,-3,-1,3,-2,2,2,-1,1,2,-2,-1,-1,-3,1,2,-2,3,-2,-1,3,-2,3,2,-2,2,-3,-1,2,2,-5,2,-3,-1,3,-2,2,2,-1,1,2,-2,-1,-1,-3,1,2,-2,3,-2,-1,3,-2,3,2,-2,2,-3,-1,2,2,153,153,1571086944.6526105,1571087097.4556298,2019-10-14 23:04:57.702731,0,AECDI#####BY2
3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,-2,-2,2,2,1,2,2,3,3,-3,-2,3,-2,-2,-2,2,3,2,-2,-2,2,-2,1,2,-2,2,-2,2,-2,3,-34,-2,-2,2,2,1,2,2,3,3,-3,-2,3,-2,-2,-2,2,3,2,-2,-2,2,-2,1,2,-2,2,-2,2,-2,3,107,107,1571308566.3126667,1571308673.0636384,2019-10-17 12:37:53.341951,0,A30UE#####UCWX
3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,151,151,1571312230.662744,1571312381.532636,2019-10-17 13:39:41.642086,0,A3V11#####S412
3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,-2,2,-2,-2,-2,-1,1,1,3,-1,-1,-1,-1,2,-2,2,-1,1,-1,1,1,1,1,-1,1,2,-2,-2,1,2,4,-2,2,-2,-2,-2,-1,1,1,3,-1,-1,-1,-1,2,-2,2,-1,1,-1,1,1,1,1,-1,1,2,-2,-2,1,2,228,228,1571316951.5669396,1571317179.6551309,2019-10-17 14:59:39.875869,0,A1578#####377Y
3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,1,1,-3,1,-3,3,2,-1,1,1,1,-2,-2,-2,-2,2,1,-1,-2,-3,1,-2,-1,1,-1,2,-2,3,1,2,-13,1,1,-3,1,-3,3,2,-1,1,1,1,-2,-2,-2,-2,2,1,-1,-2,-3,1,-2,-1,1,-1,2,-2,3,1,2,94,94,1571338201.6654665,1571338295.7708747,2019-10-17 20:51:36.017493,0,A1LRJ#####32TM
3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,-2,-1,-2,-3,-2,-1,-2,-3,-2,-1,-2,-1,-3,-2,-1,-2,-3,-1,-2,-3,-2,-1,-2,-2,-3,-2,-1,-2,-3,-2,13,-2,-1,-2,-3,-2,-1,-2,-3,-2,-1,-2,-1,-3,-2,-1,-2,-3,-1,-2,-3,-2,-1,-2,-2,-3,-2,-1,-2,-3,-2,56,56,1571340518.6435735,1571340575.0714877,2019-10-17 21:29:36.668450,0,A3K3Z#####R0ZH
3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,-1,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-3,3,3,-3,3,-3,-3,-3,-3,3,-3,3,-1,1,-3,3,-74,-1,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-3,3,3,-3,3,-3,-3,-3,-3,3,-3,3,-1,1,-3,3,109,109,1571340522.540552,1571340631.5969768,2019-10-17 21:30:31.772600,0,A2XUA#####1HQ5
3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,1,1,2,1,-1,-1,3,1,1,3,1,-1,-1,-2,-1,-3,2,-3,-1,-1,-1,-1,2,1,1,3,-3,1,-2,3,-21,1,1,2,1,-1,-1,3,1,1,3,1,-1,-1,-2,-1,-3,2,-3,-1,-1,-1,-1,2,1,1,3,-3,1,-2,3,175,175,1571341472.2202697,1571341647.4967215,2019-10-17 21:47:27.796211,0,A2REV#####A1RR
3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,-1,3,-1,2,-2,3,-1,3,2,-1,2,-1,-1,2,-2,2,-2,-2,-2,-2,-2,-1,-2,-1,-1,3,-2,-1,-3,3,-22,-1,3,-1,2,-2,3,-1,3,2,-1,2,-1,-1,2,-2,2,-2,-2,-2,-2,-2,-1,-2,-1,-1,3,-2,-1,-3,3,146,146,1571343583.8085818,1571343730.0052955,2019-10-17 22:22:10.147216,0,A15FX#####NW31
3S4TINXCD3TAHLHCT7UXLFO09VBBOT,-3,-1,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,3,3,3,-3,-3,3,-3,3,3,3,3,-3,-3,-3,1,3,-1,-2,79,-3,-1,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,3,3,3,-3,-3,3,-3,3,3,3,3,-3,-3,-3,1,3,-1,-2,159,159,1571346319.9102626,1571346478.6378272,2019-10-17 23:07:58.839716,0,A1DIW#####9CMO
