,age,code_cc,code_cpc,code_exp,code_ras,code_resp_prop,code_risk,education,ethnicity,feedback,gender,income,job_id,money_division,proposer,proposer_responder,responder,test,worker_id
0,2635_years,cc:ykRHJ,cpc:BN0ia,exp:jGrX7,ras:9GQ6U,resp:Ka7Pl,risk:6rrC6,master_degree,white,,female,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,A3GQR#####AQJY
1,5665_years,,,,,prop:IfKF3,,high_school_degree,white,,male,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,A3819#####M0T9
2,2635_years,cc:ePWde,cpc:ioSeN,exp:9Mdpd,ras:BMN27,resp:ZtXnn,risk:OGe0Q,master_degree,white,,female,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,A3PKT#####WR97
3,,,,,,,,,,,,,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,,correct,correct,correct,,A7UMU#####KNX
4,4655_years,,,,,prop:f1iot,,high_school_degree,white,,male,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,AKJ22#####IQX
5,1825_years,cc:qKPO8,cpc:Uv232,exp:zw6rK,ras:mIZWz,resp:jXLwI,risk:Tr3oe,bachelor_degree,white,,male,Primary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,A272X#####FYLB
6,2635_years,,,,,prop:hZggg,,bachelor_degree,black_or_african_american:white,,male,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,AKOOC#####15H
7,3645_years,cc:NTi7F,cpc:CFR12,exp:ksfyv,ras:QCVSN,resp:NehcE,risk:69cBz,doctorate_degree,white,Thank you for the interesting and fun hit.,female,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,AECDI#####BY2
8,2635_years,,,,,prop:7bkuc,,bachelor_degree,hispanic_latino,,male,Secondary source of income,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,correct,correct,correct,correct,ball,A33L6#####76DB
9,2635_years,cc:X9OGy,cpc:nIw3w,exp:iVln3,ras:0Hamr,resp:5ootp,risk:F05Vm,bachelor_degree,white,it was fun thanks so much,female,Secondary source of income,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,A30UE#####UCWX
10,2635_years,,,,,prop:EgCcX,,bachelor_degree,white,,female,Secondary source of income,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,A30KY#####7JER
11,2635_years,cc:aKppq,cpc:oiGfx,exp:2xVaf,ras:wlNMT,resp:utipc,risk:p0YGU,master_degree,white,,female,I earn nearly equal incomes from crowdsourced microtasks and other job(s),3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,A3V11#####S412
12,3645_years,,,,,prop:0rfWm,,high_school_degree,white,,male,Secondary source of income,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,A1YGF#####B30G
13,5665_years, cc:s5yxT,cpc:Izwtp,exp:Qf8qb,ras:EvX80,resp:wEdvd,risk:lMbnB,high_school_degree,white,"comments are empty if you submit and missed a question, woops",male,Secondary source of income,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,A1578#####377Y
14,3645_years,,,,,prop:b3Cv9,,master_degree,white,,male,Secondary source of income,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,AMPMT#####MK8
15,,,,,,,,,,,,,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,incorrect1,incorrect2,correct,correct,,A2H26#####CIYC
16,3645_years,cc:yJYbN,cpc:5yOpD,exp:l34ND,ras:qjiaq,resp:KLpGC,risk:HH3ze,high_school_degree,white,,female,Secondary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A1LRJ#####32TM
17,3645_years,,,,,prop:nuuE6,,less_than_high_school_diploma,white,,male,Secondary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A1F2G#####WQ6M
18,2635_years,cc:1qZt3,cpc:mvSoh,exp:BbkTK,ras:MDIGe,resp:bA1xJ,risk:FOAVP,bachelor_degree,black_or_african_american,the survey is very nice,male,Primary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A3K3Z#####R0ZH
19,2635_years,cc:eGF5K,cpc:9WxKT,exp:oiccb,ras:J7HqH,resp:zTjJh,risk:DeRs2,high_school_degree,white,,male,Secondary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A2XUA#####1HQ5
20,3645_years,,,,,prop:HKal9,,high_school_degree,white,,female,Secondary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A1YFV#####CXSF
21,2635_years,cc:edcpG,cpc:nridd,exp:mqezQ,ras:mMnVy,resp:vD2JN,risk:luMeX,high_school_degree,white,,female,Secondary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A2REV#####A1RR
22,3645_years,,,,, prop:X8kwr ,,bachelor_degree,hispanic_latino:white,,male,Secondary source of income,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,correct,correct,correct,correct,ball,A10AV#####R4UQ
23,2635_years,cc:7e6qS,cpc:h1Fyi,exp:5d8Q5,ras:ZcgAV,resp:I3dlg,risk:B7C3q,bachelor_degree,white,,male,Secondary source of income,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,correct,correct,correct,correct,ball,A15FX#####NW31
24,1825_years,cc:N2Lhu,cpc:yA55P,exp:yfVtC,ras:5csEz,resp:bccwA,risk:bLOnA,high_school_degree,white,,female,Secondary source of income,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,correct,correct,correct,correct,ball,A1DIW#####9CMO
25,3645_years,,,,,prop:B45bk,,bachelor_degree,asian,,male,Primary source of income,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,correct,correct,correct,correct,ball,A1N7O#####03D8
