"ai_calls_acceptance_probability","ai_calls_best_offer_probability","ai_calls_count_repeated","ai_calls_offers","ai_calls_pauses","ai_nb_calls","ai_offer","cc_beta","cc_criterion","cc_false_alarm_avg_click_delay","cc_false_alarm_rate","cc_false_alarms","cc_hit_avg_click_delay","cc_hit_rate","cc_hits","cc_sensitivity","completion_code","cpc_expected_value","cpc_expected_value_max","cpc_expected_value_min","cpc_q1","cpc_q10","cpc_q2","cpc_q3","cpc_q4","cpc_q5","cpc_q6","cpc_q7","cpc_q8","cpc_q9","cpc_time_spent","exp_ultimatum_game_experience","job_id","min_offer","model_type","offer","offer_dss","offer_final","prop_time_spent","prop_worker_id","ras_assertiveness","ras_q1","ras_q10","ras_q11","ras_q12","ras_q13","ras_q14","ras_q15","ras_q16","ras_q17","ras_q18","ras_q19","ras_q2","ras_q20","ras_q21","ras_q22","ras_q23","ras_q24","ras_q25","ras_q26","ras_q27","ras_q28","ras_q29","ras_q3","ras_q30","ras_q4","ras_q5","ras_q6","ras_q7","ras_q8","ras_q9","ras_time_spent","resp_rowid","resp_time_spent","resp_worker_id","risk_expected_value","risk_q1","risk_q2","risk_q3","risk_q4","risk_time_spent","timestamp","worker_id"
0.7091,0.7938,1,50,25,1,50,0.786247200363677,-0.14646590795281,322,0.25,1,291,0.833333333333333,5,1.64191131629778,,9.9165,14.127,3.6885,7,6.5,13,30,14.565,5.16,14.5,2.015,-9,15.425,117,0,"34HEO7RUH908VO40FLB5KZ9Z2IARAN",50,"real",50,50,50,10,"A1TSVP4XC9NTR4",53,-1,1,-2,-3,-2,-3,-2,-2,-3,1,-1,-2,2,2,3,-2,-2,2,-2,2,1,1,2,-2,1,-2,1,1,2,-2,133,1,14,"A2W3A42TRMJ861",3.005,1.05,1.99,4,4.98,74,11/05/19 10:58 PM,"A1TSV#####9NTR4"
"0.8947:0.0353:0.0343:0.9838","0.342:0.0028:0.0017:0.0123",8,"75:20:15:90","-278:20:290:33",4,50,0.786247200363677,-0.14646590795281,285,0.25,1,308,0.833333333333333,5,1.64191131629778,,10.5161,11.307,6.9422,7,4.1583,13,30,14.565,5.16,15,2.565,-1.0875,14.8,96,0,"34HEO7RUH908VO40FLB5KZ9Z2IARAN",40,"real",15,75,75,20,"A2K173JEQA21BG",36,1,-2,-1,1,-2,-3,1,-2,1,-1,-2,2,1,3,3,-2,-3,3,-3,2,3,1,2,-3,1,-3,3,-2,2,-1,413,2,12,"AT6LDQNLKTUSE",1.82,1.04,1.2,2,3.04,31,11/05/19 11:58 PM,"A2K17#####A21BG"
0.7091,0.7938,1,50,32,1,50,1.21373162950237,0.091463907137153,0,0,0,310.8,0.833333333333333,5,2.11777094647771,"prop:2RZhL",11.2786,14.467,5.3073,14,4.1583,13,30,14.565,5.16,15,2.565,-1.0875,15.425,131,0,"34HEO7RUH908VO40FLB5KZ9Z2IARAN",40,"real",50,50,50,10,"A2JDYN6QM8M5UN",2,1,-1,2,2,2,1,-2,-2,-3,-3,2,3,-1,-1,2,-2,2,-1,-2,1,2,-1,-1,-3,-1,-2,2,-1,1,-2,219,4,20,"A26LOVXF4QZZCO",4.645,1.09,1.99,5.5,10,104,11/06/19 11:48 PM,"A2JDY#####8M5UN"
0.2036,0.0759,1,45,31,1,50,1.21373162950237,0.091463907137153,0,0,0,413.4,0.833333333333333,5,2.11777094647771,"prop:REwIB",11.4628,15.852,4.001,14,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,15.425,70,0,"34HEO7RUH908VO40FLB5KZ9Z2IARAN",5,"real",45,50,50,20,"AEWT71858NL5V",49,-2,2,-3,-3,-2,-3,-3,-2,-3,2,1,-3,2,2,3,-2,-3,-2,-3,1,1,-2,-1,-3,1,-3,2,-1,1,-3,94,3,6,"A3C0NQ2IP5FTZQ",4.645,1.09,1.99,5.5,10,47,11/07/19 12:51 AM,"AEWT7#####NL5V"
"0.0054:0.0213","0.0073:0.0009",2,12:05:00 AM,35:04:00,2,50,0.786247200363677,-0.14646590795281,211,0.25,1,295,0.833333333333333,5,1.64191131629778,"prop:HQbTw",11.4502,12.202,7.626,14,6.5,13,30,14.565,5.16,15,2.565,-1.0875,14.8,89,20,"3M4KL7H8LYTJFHTGREFEY3P023061U",20,"real",0,5,5,9,"A3UQ9R1VDVVQKR",-61,3,-3,3,3,3,2,2,-1,2,-3,2,3,-1,-1,-2,3,2,-2,3,-1,-2,-2,-3,2,2,3,-1,-2,-2,-1,97,5,5,"A1N16ZU0FNQEY6",2.2475,1,1,3,3.99,35,11/07/19 01:14 AM,"A3UQ9#####VVQKR"
0.7091,0.7938,1,50,41,1,50,0.626283432186312,-0.483710783050851,172,0.5,2,288.6,0.833333333333333,5,0.967421566101701,"prop:6r3wC",11.0418,11.982,8.5798,14,4.1583,13,30,14.565,3.4167,15,2.565,-1.0875,14.8,63,0,"3M4KL7H8LYTJFHTGREFEY3P023061U",50,"real",50,50,50,12,"A200RIU9CD4AJ8",4,-1,2,-3,-3,-3,-3,3,1,-3,-2,2,-2,-2,1,-2,1,2,-3,-2,-3,-3,1,-1,-1,2,-3,2,-3,2,-2,117,7,7,"A1XE5G7H6AO5HH",1.3975,1,1.08,1.53,1.98,47,11/07/19 01:26 AM,"A200R#####D4AJ8"
0.7091,0.7938,1,50,50,1,50,0.482454739746253,-0.354252188452278,443,0.25,1,380.833333333333,1,6,2.05748387729672,"prop:p1ZBW",8.2966,11.244,2.5662,7,4.1583,13,10.22,11.525,5.16,15,2.565,-1.0875,15.425,130,1,"3M4KL7H8LYTJFHTGREFEY3P023061U",5,"real",50,50,50,15,"A2UP4TCLF892NV",11,-1,1,2,2,2,-2,-1,-1,1,2,-1,2,1,-1,-1,-3,2,1,2,1,2,-1,1,-2,-2,-3,2,-2,1,-1,241,8,11,"A3UEEIQ1XI25TS",1.395,0.99,1.08,1.53,1.98,67,11/07/19 02:04 AM,"A2UP4#####892NV"
"0.1068:0.1805:0.7662:0.1292:0.7091","0.0039:0.0508:0.4424:0.0586:0.7938",6,"30:40:60:35:50","33:4:5:12:4",5,50,0.786247200363677,-0.14646590795281,243,0.25,1,227.6,0.833333333333333,5,1.64191131629778,"prop:t5qNx",8.28,10.481,5.6123,14,4.1583,13,10.22,14.565,3.4167,15,2.015,-9,15.425,83,0,"3M4KL7H8LYTJFHTGREFEY3P023061U",30,"real",30,50,50,19,"A3KQT8CMHN8T1Z",-12,1,-2,1,2,-2,-3,1,3,2,-2,3,1,1,1,1,-1,-1,-2,1,1,1,-1,-2,1,2,-1,2,-2,1,-1,139,9,9,"A11C2CUD2MG6JK",2.8875,1.05,1.5,3,6,28,11/07/19 09:56 PM,"A3KQT#####N8T1Z"
"0.0353:0.0887:0.1805:0.1292","0.0028:0.0284:0.0508:0.0586",4,"20:25:40:35","33:10:3:3",4,50,1.25541753135468,0.337244875098041,298,0.25,1,232.666666666667,0.5,3,0.674489750196082,"prop:PlWnN",9.959,10.467,7.626,7,6.5,13,30,14.565,5.16,15,2.565,-9,14.8,102,1,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",50,"real",25,40,40,13,"A4SC8G0149GEG",-12,1,-2,-1,1,2,-2,-2,-1,-3,-1,3,1,-1,-1,-2,1,2,-2,1,-1,-3,1,-2,1,-1,-2,2,-2,2,-1,160,12,23,"ACRBWXKQ2E8F5",2.8425,1.04,1.33,3,6,189,11/08/19 10:34 AM,"A4SC8#####9GEG"
,,0,,,0,50,1.21373162950237,0.091463907137153,0,0,0,334.8,0.833333333333333,5,2.11777094647771,"prop:15Az0",11.3953,12.212,7.3135,14,6.5,13,30,14.565,5.16,15,2.015,-1.0875,14.8,95,0,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",50,"real",10,30,30,21,"A19ZA4GG7S0BKI",-17,2,1,1,1,-1,1,1,2,2,-2,1,3,-2,1,2,-1,1,-1,2,-2,1,-1,1,-1,1,2,1,-1,1,-1,133,13,21,"A1OZN075MPLC9V",1.7775,0.99,1.08,2,3.04,26,11/08/19 10:54 AM,"A19ZA#####S0BKI"
