,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,completion_code,job_id,q1,q10,q2,q3,q4,q5,q6,q7,q8,q9,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
0,9.9165,14.127,3.6885,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.015,-9.0,15.425,117,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,B,A,A,A,A,A,A,B,A,B,117,1572989233.666221,1572989350.9952936,2019-11-05 22:29:11.152370,15,A2W3A#####J861
1,10.5161,11.307,6.9422,7.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,96,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,B,B,A,A,A,A,B,A,B,A,96,1572992449.55601,1572992546.0315125,2019-11-05 23:22:26.194165,41,AT6LD#####USE
2,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,70,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,A,A,A,A,A,A,A,A,B,B,70,1572993091.4838848,1572993161.044323,2019-11-05 23:32:41.195499,28,A3C0N#####FTZQ
3,11.2786,14.467,5.3073,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,15.425,131,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,A,B,A,A,A,A,B,A,B,B,131,1573007978.773505,1573008109.3849235,2019-11-06 03:41:49.580662,30,A26LO#####ZZCO
4,11.4502,12.202,7.626,14.0,6.5,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,89,cpc:kDfWA,3M4KL7H8LYTJFHTGREFEY3P023061U,A,A,A,A,A,A,B,A,B,A,89,1573085258.090768,1573085346.6896179,2019-11-07 01:09:06.891471,32,A1N16#####QEY6
5,11.0418,11.982,8.5798,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-1.0875,14.8,63,cpc:bS2t0,3M4KL7H8LYTJFHTGREFEY3P023061U,A,B,A,A,A,B,B,A,B,A,63,1573086100.7707505,1573086163.7977533,2019-11-07 01:22:44.014182,33,A1XE5#####O5HH
6,8.2966,11.244,2.5662,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,15.425,130,cpc:6MrOI,3M4KL7H8LYTJFHTGREFEY3P023061U,B,B,A,B,B,A,B,A,B,B,130,1573087892.7601697,1573088022.5722458,2019-11-07 01:53:42.774673,42,A3UEE#####25TS
7,8.28,10.481,5.6123,14.0,4.1583,13.0,10.22,14.565,3.4167,15.0,2.015,-9.0,15.425,83,cpc:vLVAy,3M4KL7H8LYTJFHTGREFEY3P023061U,A,B,A,B,A,B,B,B,A,B,83,1573157225.8072047,1573157308.815895,2019-11-07 21:08:29.039843,32,A11C2#####G6JK
8,9.959,10.467,7.626,7.0,6.5,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,102,cpc:vs07N,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,B,A,A,A,A,A,B,A,A,A,102,1573204778.501291,1573204880.7421288,2019-11-08 10:21:20.930323,12,ACRBW#####8F5
9,11.3953,12.212,7.3135,14.0,6.5,13.0,30.0,14.565,5.16,15.0,2.015,-1.0875,14.8,95,cpc:ua129,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,A,A,A,A,A,A,B,B,B,A,95,1573206367.2591565,1573206462.4401858,2019-11-08 10:47:42.608418,42,A1OZN#####LC9V
