,assignment_id,job_id,worker_code,worker_id
0,3EG49X351YKM02M1R6VQZE23X1IX67,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:gFPzR,A3GQR#####AQJY
1,3O6CYIULEH9SDD7CDJX7D12CRLVWUG,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:ZRyN8,A3819#####M0T9
2,37Z929RLGDGK6JBET9XWBGDP2UTST7,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:TNaJw,A3PKT#####WR97
3,3NG53N1RLZR4V73YYUI7PFCR1X3P81,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,dropped,A7UMU#####KNX
4,39LOEL67OWDXOIYB0WL0CC9QW1C384,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:tzTZI,AKJ22#####IQX
5,3IXQG4FA2X625ILYKH6KUR2D4Z49BN,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:MDEGQ,A272X#####FYLB
6,3HYA4D452VRHIFCF4AD13ULKDRL2F5,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:O4Gwb,AKOOC#####15H
7,3QBD8R3Z25RLR64V7RFFJ3RWP8QO4V,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:d03So,AECDI#####BY2
8,3PMBY0YE2BBLFND4YH2F5B8VMMLC9I,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:aJ2LE,A33L6#####76DB
9,3EO896NRA01YYGIP3IYF2X8OEMYJT9,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:Vz8GF,A30UE#####UCWX
10,3HFNH7HEMLKBFY0WE8JH0F5L2NMGQS,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:5uvSM,A30KY#####7JER
11,3MH9DQ7570I37R7DVH3MAG2A58OUG7,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:EODI8,A3V11#####S412
12,3GDTJDAPVYH514WM3H0CRT4I44W8M3,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:2V7e5,A1YGF#####B30G
13,388U7OUMFB7EGV4BDLJEKDSARTQ0R3,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:Wh1bs,A1578#####377Y
14,3JNQLM5FT8SA97CCNOQWHPCQIZRL2O,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:zo2qy,AMPMT#####MK8
15,33C7UALJVP485FAXAVHE71GF6U818X,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,dropped,A2H26#####CIYC
16,340UGXU9D27MPOX8KC28AH5KSPGVU5,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:8Fwfn,A1LRJ#####32TM
17,3MB8LZR5BJZ5QNG2CUW0HLYKZ1NKLN,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:bWfjr,A1F2G#####WQ6M
18,3VJ40NV2QMTCZR9MJVQKATPADJJOTE,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:s1J6e,A3K3Z#####R0ZH
19,30BXRYBRP83UZRRTAN05D4Z85RQHWC,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:CGmBk,A2XUA#####1HQ5
20,308XBLVESMAF0I7LB1G34UOTIYYRBT,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:9J5po,A1YFV#####CXSF
21,3U4J9857OIH5IZN62NIXZDXTHNJ7BR,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:4HtQe,A2REV#####A1RR
22,3Z3ZLGNNSM0ALMO8JTCXHLGCYKHQ3Y,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:QgPI6,A10AV#####R4UQ
23,3VE8AYVF8Q3ZVU45HUWZW3K975LF88,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:loFdp,A15FX#####NW31
24,3RXCAC0YIVV59U00SE2HEOKL8K2G8P,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:DhihT,A1DIW#####9CMO
25,3NPFYT4IZGAVOV180ME9UN1EZTBXGE,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:14fPD,A1N7O#####03D8
26,32ZKVD547JTNHGMJ0BF7MWLDCLL3B6,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:GKdtc,A297O#####0XS3
27,3ERMJ6L4D2Y11QR3TC86DT8NTMAM7I,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:KVsbM,A3LVL#####1ZD7
28,3PQMUDRV7VCCURI8ROEBCPRFQU5IIZ,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:P5vi2,A22DF#####GRLV
29,3H7Z272LXBD61EDIPM18D2KJTBOPLO,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:0GKb5,A1F1O#####77D8
30,358010RM5IZE6SR3PHDVUO4OM97VXB,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:1jBQm,A2NA2#####COZY
31,3BDCF01OG100AS5JG9XRQTDVXHZYL1,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:TPgO5,A1FYW#####KN1O
32,3FK0YFF9P3MM23M8P2CD63736YZVV8,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:h2aUA,APB33#####EWK
33,3PJ71Z61R888JKT7FNNS7XBQQ2A19A,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A1UU2#####FEX1
34,3TY7ZAOG5JQSTRRGN1AHJ16WW4FK0J,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:p9FsT,A1Z8A#####IV43
