,assignment_id,code_resp_prop,completion_code,feedback,job_id,money_division,proposer,proposer_responder,responder,test,timestamp,worker_id
0,3IO1LGZLKD33C1BUG1TV2X7WLBY68T,prop:cXN8i,t10_feedback:XbJoV,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 01:56:13.882108,A1GKD#####NHRP
1,3DPNQGW4LPL2T0OS4Y3ILLRRJP246K,prop:qyY1n,t10_feedback:aAUWH,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 01:57:11.894016,AOS2P#####YTL
2,38BQUHLA9068MWJ2AYP8OFUIQGGOMN,prop:kPSfu,t10_feedback:ZYUEK,The final question of the main task didn't make sense to me.,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 01:57:58.776670,A3UN1#####KKE6
3,3P1L2B7AD5VOGE1HAMOTO2FTQBQOLL,prop:qy0Sx,t10_feedback:fP3rk,Very fun!,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 01:58:30.903157,AN45K#####3NY
4,3Z7ISHFUH4150BV5I6Q6ZV0RQFUZ8C,prop:pNcdj,t10_feedback:tJiGp,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:01:39.937586,A2QAT#####EGUS
5,3YW4XOSQKUR63CHADYIJ3TY4AR9U1Y,prop:yCjnU,t10_feedback:QbVhq,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:02:18.063583,A3PRQ#####2718
6,3WI0P0II65Y8FF55PX79ZKCTSP8RDH,prop:hsAGW,t10_feedback:jeTF4,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:03:51.970652,A2MTG#####YFN3
7,3HUTX6F6VYTIFSF90G6O96GKKB0O2X,prop:aLfCD,t10_feedback:8jf7D,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:10:40.171102,A3VL1#####GQK7
8,3G0WWMR1UZQHPQHI1CWCQZEIA79NQV,prop:P1zWk,t10_feedback:KDqH9,none,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:17:23.336894,A1QBN#####NYYY
9,3XIQGXAUMGECV2Q77JAFOAOL7VS7X2,prop:Niygt,t10_feedback:0kUpz,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:21:39.487483,A88DX#####WEN
10,3Q5C1WP23Q7PIXRVCXABVH6OBAJ51U,prop:I0TPc,t10_feedback:nzq8D,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:39:16.431164,AU34T#####4Z4
11,3VBEN272MO5NSEF96C8MVFKMRJAGS7,prop:GyLtN,t10_feedback:tVJWi,none,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:52:29.980781,A2TKH#####FAM
12,38YMOXR4MY5E227CE491GDAI3I3W60,prop:qYhWk,t10_feedback:q60Ab,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 02:53:19.824987,A3UDU#####D833
13,3EFE17QCRGB1SAAKQIQ4GFWN6JOSHJ,prop:OvO1Q,t10_feedback:GgHuS,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 03:13:38.162589,AFIK3#####6G6
14,3LBXNTKX0V1G9LE0MG8Z26FR2LJX97,prop:QiCe4,t10_feedback:E5ALO,none,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 03:40:18.662240,ATDV8#####O1N
15,3RU7GD8VPSZT5R889VY9POYESA0PSN,prop:uD6y3 ,t10_feedback:0k8lb,"This was neat, thank you!",335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 03:48:04.679815,ARAAV#####YWO
16,33CID57108ZZUP8VRO410ZHIVL43LH,prop:Q5bVo,t10_feedback:d19Hy,No comment,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 04:39:34.158801,A1T25#####X648
17,3AQF3RZ55COCRGLHOFZ1CPOI8GQF60,prop:icymi,t10_feedback:3XwhZ,Thank you for the opportunity,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 05:03:49.991055,A2658#####AR1D
