,completion_code,exp_time_spent,exp_ultimatum_game_experience,job_id,time_spent,time_start,time_stop,timestamp,ultimatum_game_experience,worker_bonus,worker_id
0,,11,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,11,1572988991.4873238,1572989002.09638,2019-11-05 22:23:22.223881,0,0,A2W3A#####J861
1,,10,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,10,1572991932.3101184,1572991941.9311657,2019-11-05 23:12:22.098708,0,0,AT6LD#####USE
2,,9,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,9,1572992915.1055706,1572992923.6983948,2019-11-05 23:28:43.813066,0,0,A3C0N#####FTZQ
3,,17,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,17,1573007659.5200648,1573007676.6428802,2019-11-06 03:34:36.835346,0,0,A26LO#####ZZCO
4,exp:Jj7tP,7,20,3M4KL7H8LYTJFHTGREFEY3P023061U,7,1573085068.8528833,1573085075.8248134,2019-11-07 01:04:36.026126,20,0,A1N16#####QEY6
5,exp:MyWEn,15,0,3M4KL7H8LYTJFHTGREFEY3P023061U,15,1573085873.6520975,1573085888.7985063,2019-11-07 01:18:08.990134,0,0,A1XE5#####O5HH
6,exp:WGPHS,24,1,3M4KL7H8LYTJFHTGREFEY3P023061U,24,1573087528.733232,1573087552.543061,2019-11-07 01:45:52.690743,1,0,A3UEE#####25TS
7,exp:uyJQq,8,0,3M4KL7H8LYTJFHTGREFEY3P023061U,8,1573157006.2853122,1573157014.5014412,2019-11-07 21:03:34.711606,0,0,A11C2#####G6JK
8,exp:oTKE9,14,1,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,14,1573204505.8702924,1573204520.1023304,2019-11-08 10:15:20.285476,1,0,ACRBW#####8F5
9,exp:YQio7,11,0,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,11,1573206125.5802143,1573206136.482972,2019-11-08 10:42:16.668714,0,0,A1OZN#####LC9V
10,exp:bfnyz,14,0,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,14,1573206183.3546903,1573206196.8588798,2019-11-08 10:43:17.020396,0,0,A3U30#####P0J6
11,exp:No0fH,9,10,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,9,1573206385.490963,1573206394.6841679,2019-11-08 10:46:34.839854,10,0,A1C7X#####D8JE
12,exp:Evwzk,39,20,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,39,1573208320.8795948,1573208360.1890004,2019-11-08 11:19:20.350329,20,0,A2U3H#####QNPE
13,exp:3z2Ga,22,2,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,22,1573211274.623679,1573211296.7636063,2019-11-08 12:08:17.282986,2,0,AUZPU#####TX5
14,exp:g77Rl,8,0,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,8,1573227247.5295088,1573227255.2487214,2019-11-08 16:34:15.399873,0,0,A2KBT#####J7X4
15,exp:EFafh,14,1,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,14,1573229762.1765265,1573229776.238685,2019-11-08 17:16:16.815734,1,0,A3C2X#####NNLV
16,exp:v01ze,14,10,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,14,1573232375.432795,1573232389.4707682,2019-11-08 17:59:49.693118,10,0,A39XI#####NHFU
17,exp:oJvDu,7,5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,7,1573248470.417823,1573248477.380102,2019-11-08 22:27:57.507335,5,0,A2GG7#####IXUR
18,exp:jOSs6,6,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,1573248598.0355153,1573248604.047691,2019-11-08 22:30:04.247866,1,0,A26NG#####ATVN
19,exp:NdmGc,13,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,13,1573248683.5176249,1573248696.4084496,2019-11-08 22:31:36.652464,0,0,A270H#####LJ8W
20,exp:KQPxq,21,2,3NBFJK3IPKO682PN9TMBMQFXPULGO5,21,1573249773.2028189,1573249794.5712945,2019-11-08 22:49:54.678367,2,0,AOWW3#####J6U
21,exp:SuxlJ,6,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,1573249960.5596285,1573249966.7533214,2019-11-08 22:52:46.948914,0,0,A3I0I#####KFFZ
22,exp:bW8xc,21,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,21,1573249975.1874635,1573249995.9443378,2019-11-08 22:53:16.166051,0,0,AMARS#####3TG
23,exp:t6vFi,5,3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,1573250439.567786,1573250444.3932781,2019-11-08 23:00:44.505754,3,0,A3JLE#####17E2
24,exp:Hf7y4,10,16,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,1573250945.4796338,1573250955.5051441,2019-11-08 23:09:15.729031,16,0,A2F2D#####U4AK
25,exp:oUIzk,7,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,7,1573250959.7239296,1573250966.2859716,2019-11-08 23:09:26.430179,0,0,A2SO6#####GBB7
26,exp:ctQ8f,9,25,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,1573250980.2058449,1573250989.3205125,2019-11-08 23:09:49.547553,25,0,AEF74#####EIA
27,exp:agUxC,8,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,8,1573251065.6729162,1573251073.6690729,2019-11-08 23:11:13.879887,0,0,AWH9P#####UCX
28,exp:SJ164,10,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,1573251314.2996085,1573251324.047726,2019-11-08 23:15:24.528703,1,0,A2Y2A#####U47Q
29,exp:EJyzh,13,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,13,1573251323.0204203,1573251336.4017665,2019-11-08 23:15:36.564827,0,0,A28AX#####PH1F
30,exp:RwdP4,6,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,1573251511.4972367,1573251517.3350523,2019-11-08 23:18:37.506694,0,0,A16SA#####96G4
31,exp:ce7N7,32,5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,32,1573251518.678219,1573251550.8680477,2019-11-08 23:19:11.068390,5,0,A3SXE#####XBMM
32,exp:oaIAE,10,3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,1573251598.1774817,1573251608.3757498,2019-11-08 23:20:08.633691,3,0,A2INX#####M92F
33,exp:3oPcp,17,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,17,1573253004.1814842,1573253020.8836358,2019-11-08 23:43:41.043885,1,0,ATP43#####P0C
34,exp:r8B0E,16,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,16,1573253042.0788012,1573253058.2239444,2019-11-08 23:44:18.584762,1,0,A3D8W#####SOH
35,exp:EgvJj,12,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,12,1573253271.2269747,1573253283.0997796,2019-11-08 23:48:03.299312,1,0,A3NMQ#####6YE0
36,exp:2bScS,9,15,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,1573254011.3067448,1573254020.2794883,2019-11-09 00:00:20.508023,15,0,AAAHL#####A2U
37,exp:7rqvW,11,3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,11,1573254240.146789,1573254250.8819485,2019-11-09 00:04:11.001824,3,0,A28VE#####E3B8
38,exp:Dz0iA,9,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,1573254630.7755167,1573254640.088502,2019-11-09 00:10:40.223682,0,0,A37XJ#####ZYC
39,exp:BNJj4,23,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,23,1573254962.1542609,1573254985.2370844,2019-11-09 00:16:25.442545,1,0,A36FB#####N139
40,exp:yduZX,24,5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,24,1573255057.577266,1573255081.9503205,2019-11-09 00:18:02.461631,5,0,A2J6Q#####TRVM
41,exp:rCkp6,8,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,8,1573255277.971276,1573255285.688925,2019-11-09 00:21:25.884629,0,0,A34V3#####3BMF
42,exp:CIloq,9,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,1573255286.0328512,1573255295.02068,2019-11-09 00:21:35.199150,0,0,A2RLY#####6ETD
43,exp:Syyzj,12,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,12,1573255326.3848555,1573255338.7956307,2019-11-09 00:22:18.953765,0,0,AXTFS#####LO5
44,exp:6rKCb,9,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,1573255364.6143618,1573255374.0678332,2019-11-09 00:22:54.222059,0,0,AGY4F#####H9G
45,exp:iYBXg,20,8,3NBFJK3IPKO682PN9TMBMQFXPULGO5,20,1573255383.828217,1573255403.582401,2019-11-09 00:23:23.748771,8,0,A3T1A#####ZZXY
46,exp:Yuz4P,12,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,12,1573255391.9709105,1573255404.328609,2019-11-09 00:23:24.477573,0,0,A1U3O#####I8JD
47,exp:LDS1l,18,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,18,1573255394.1310034,1573255412.4814072,2019-11-09 00:23:32.636251,0,0,A3CPQ#####J09F
48,exp:56Rpn,15,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,15,1573255506.1443062,1573255520.7972074,2019-11-09 00:25:21.226315,0,0,A23K7#####PV0D
49,exp:33K4d,12,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,12,1573255516.6809947,1573255528.731245,2019-11-09 00:25:28.895015,0,0,A1X44#####IQ78
50,exp:oCr52,21,2,3NBFJK3IPKO682PN9TMBMQFXPULGO5,21,1573255522.3840837,1573255543.1004906,2019-11-09 00:25:43.688600,2,0,A13Y9#####5X5P
51,exp:VjAbY,10,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,1573255625.0379214,1573255635.3584669,2019-11-09 00:27:15.534059,0,0,A2FGK#####DFWS
52,exp:ZcgtJ,11,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,11,1573257201.256956,1573257212.2540536,2019-11-09 00:53:32.438779,0,0,A3DQL#####PEL8
53,exp:R3ICT,10,4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,1573257356.5579524,1573257366.6864173,2019-11-09 00:56:06.898197,4,0,A8KX1#####E2Q
