,completion_code,job_id,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q3,q30,q4,q5,q6,q7,q8,q9,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
0,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,-1,1,-2,-3,-2,-3,-2,-2,-3,1,-1,-2,2,2,3,-2,-2,2,-2,2,1,1,2,-2,1,-2,1,1,2,-2,53,-1,1,-2,-3,-2,-3,-2,-2,-3,1,-1,-2,2,2,3,-2,-2,2,-2,2,1,1,2,-2,1,-2,1,1,2,-2,133,133,1572989086.7185311,1572989220.2120717,2019-11-05 22:27:00.399505,0,A2W3A#####J861
1,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,1,-2,-1,1,-2,-3,1,-2,1,-1,-2,2,1,3,3,-2,-3,3,-3,2,3,1,2,-3,1,-3,3,-2,2,-1,36,1,-2,-1,1,-2,-3,1,-2,1,-1,-2,2,1,3,3,-2,-3,3,-3,2,3,1,2,-3,1,-3,3,-2,2,-1,413,413,1572992026.1786082,1572992439.5314758,2019-11-05 23:20:39.715643,0,AT6LD#####USE
2,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,-2,2,-3,-3,-2,-3,-3,-2,-3,2,1,-3,2,2,3,-2,-3,-2,-3,1,1,-2,-1,-3,1,-3,2,-1,1,-3,49,-2,2,-3,-3,-2,-3,-3,-2,-3,2,1,-3,2,2,3,-2,-3,-2,-3,1,1,-2,-1,-3,1,-3,2,-1,1,-3,94,94,1572992989.8882196,1572993084.2454762,2019-11-05 23:31:24.373905,0,A3C0N#####FTZQ
3,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,1,-1,2,2,2,1,-2,-2,-3,-3,2,3,-1,-1,2,-2,2,-1,-2,1,2,-1,-1,-3,-1,-2,2,-1,1,-2,2,1,-1,2,2,2,1,-2,-2,-3,-3,2,3,-1,-1,2,-2,2,-1,-2,1,2,-1,-1,-3,-1,-2,2,-1,1,-2,219,219,1573007751.3742664,1573007969.8976858,2019-11-06 03:39:30.148652,0,A26LO#####ZZCO
4,ras:Ra7dI,3M4KL7H8LYTJFHTGREFEY3P023061U,3,-3,3,3,3,2,2,-1,2,-3,2,3,-1,-1,-2,3,2,-2,3,-1,-2,-2,-3,2,2,3,-1,-2,-2,-1,-61,3,-3,3,3,3,2,2,-1,2,-3,2,3,-1,-1,-2,3,2,-2,3,-1,-2,-2,-3,2,2,3,-1,-2,-2,-1,97,97,1573085151.7470329,1573085248.3761044,2019-11-07 01:07:28.575902,0,A1N16#####QEY6
5,ras:aer9g,3M4KL7H8LYTJFHTGREFEY3P023061U,-1,2,-3,-3,-3,-3,3,1,-3,-2,2,-2,-2,1,-2,1,2,-3,-2,-3,-3,1,-1,-1,2,-3,2,-3,2,-2,4,-1,2,-3,-3,-3,-3,3,1,-3,-2,2,-2,-2,1,-2,1,2,-3,-2,-3,-3,1,-1,-1,2,-3,2,-3,2,-2,117,117,1573085971.223045,1573086087.7417326,2019-11-07 01:21:27.935693,0,A1XE5#####O5HH
6,ras:FPWj6,3M4KL7H8LYTJFHTGREFEY3P023061U,-1,1,2,2,2,-2,-1,-1,1,2,-1,2,1,-1,-1,-3,2,1,2,1,2,-1,1,-2,-2,-3,2,-2,1,-1,11,-1,1,2,2,2,-2,-1,-1,1,2,-1,2,1,-1,-1,-3,2,1,2,1,2,-1,1,-2,-2,-3,2,-2,1,-1,241,241,1573087642.0868516,1573087883.53357,2019-11-07 01:51:23.738125,0,A3UEE#####25TS
7,ras:ZSSua,3M4KL7H8LYTJFHTGREFEY3P023061U,1,-2,1,2,-2,-3,1,3,2,-2,3,1,1,1,1,-1,-1,-2,1,1,1,-1,-2,1,2,-1,2,-2,1,-1,-12,1,-2,1,2,-2,-3,1,3,2,-2,3,1,1,1,1,-1,-1,-2,1,1,1,-1,-2,1,2,-1,2,-2,1,-1,139,139,1573157080.0991263,1573157218.7364235,2019-11-07 21:06:58.958799,0,A11C2#####G6JK
8,ras:HbOcZ,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,1,-2,-1,1,2,-2,-2,-1,-3,-1,3,1,-1,-1,-2,1,2,-2,1,-1,-3,1,-2,1,-1,-2,2,-2,2,-1,-12,1,-2,-1,1,2,-2,-2,-1,-3,-1,3,1,-1,-1,-2,1,2,-2,1,-1,-3,1,-2,1,-1,-2,2,-2,2,-1,160,160,1573204609.7996397,1573204770.023157,2019-11-08 10:19:30.223933,0,ACRBW#####8F5
9,ras:o7TGf,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,2,1,1,1,-1,1,1,2,2,-2,1,3,-2,1,2,-1,1,-1,2,-2,1,-1,1,-1,1,2,1,-1,1,-1,-17,2,1,1,1,-1,1,1,2,2,-2,1,3,-2,1,2,-1,1,-1,2,-2,1,-1,1,-1,1,2,1,-1,1,-1,133,133,1573206214.9253085,1573206348.3631008,2019-11-08 10:45:48.790343,0,A1OZN#####LC9V
10,ras:zDlbP,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,1,1,1,1,1,-1,1,-2,-1,1,1,-1,1,1,3,-1,1,2,-1,2,2,2,1,-1,2,2,1,-1,2,-1,16,1,1,1,1,1,-1,1,-2,-1,1,1,-1,1,1,3,-1,1,2,-1,2,2,2,1,-1,2,2,1,-1,2,-1,211,211,1573206305.9312985,1573206516.7699609,2019-11-08 10:48:37.107920,0,A3U30#####P0J6
11,ras:bUM04,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,2,2,-1,1,-2,-2,2,-7,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,2,2,-1,1,-2,-2,2,145,145,1573206463.6924386,1573206609.0069165,2019-11-08 10:50:09.305682,0,A1C7X#####D8JE
12,ras:e4ZRv,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,1,1,2,3,1,2,1,2,-1,1,1,2,2,-2,-1,2,2,1,3,-1,1,-1,1,3,1,-1,1,1,2,3,-21,1,1,2,3,1,2,1,2,-1,1,1,2,2,-2,-1,2,2,1,3,-1,1,-1,1,3,1,-1,1,1,2,3,290,290,1573208479.420828,1573208769.0009723,2019-11-08 11:26:09.179026,0,A2U3H#####QNPE
13,ras:dz2pf,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,-3,3,-1,3,3,-3,3,-3,-3,-3,3,-3,3,3,3,-3,-3,1,-3,3,-3,-3,3,1,3,-3,3,3,3,-2,33,-3,3,-1,3,3,-3,3,-3,-3,-3,3,-3,3,3,3,-3,-3,1,-3,3,-3,-3,3,1,3,-3,3,3,3,-2,452,452,1573211370.6447544,1573211822.2140164,2019-11-08 12:17:04.390739,0,AUZPU#####TX5
14,ras:L9xj1,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,-4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,71,71,1573227311.3944008,1573227382.248423,2019-11-08 16:36:22.502235,0,A2KBT#####J7X4
15,ras:mARUb,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,2,2,1,-1,1,-1,-1,-1,-3,-1,-1,1,-1,2,2,-1,1,1,-2,-1,-1,1,1,1,1,-2,1,-1,3,1,12,2,2,1,-1,1,-1,-1,-1,-3,-1,-1,1,-1,2,2,-1,1,1,-2,-1,-1,1,1,1,1,-2,1,-1,3,1,128,128,1573229853.0196917,1573229981.3233395,2019-11-08 17:19:41.896108,0,A3C2X#####NNLV
16,ras:0FA2S,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,2,-3,2,2,3,1,2,3,-2,-2,2,2,1,1,1,2,1,-1,2,-2,-2,-1,-1,3,3,2,-1,-2,-2,1,-45,2,-3,2,2,3,1,2,3,-2,-2,2,2,1,1,1,2,1,-1,2,-2,-2,-1,-1,3,3,2,-1,-2,-2,1,109,109,1573232445.5702765,1573232554.080008,2019-11-08 18:02:34.348024,0,A39XI#####NHFU
17,ras:gL7P4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-2,2,3,-3,3,-3,-2,-3,-3,3,3,2,-1,1,-1,2,-76,2,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-2,2,3,-3,3,-3,-2,-3,-3,3,3,2,-1,1,-1,2,115,115,1573248567.5410368,1573248682.213492,2019-11-08 22:31:22.375941,0,A2GG7#####IXUR
18,ras:I3TYn,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,2,-3,-2,-3,3,-3,3,-1,-3,3,3,2,-2,-2,-2,-3,2,1,2,-3,39,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,2,-3,-2,-3,3,-3,3,-1,-3,3,3,2,-2,-2,-2,-3,2,1,2,-3,179,179,1573248662.0098865,1573248840.7878358,2019-11-08 22:34:01.276499,0,A26NG#####ATVN
19,ras:Il9HL,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,-3,1,3,3,-3,-1,2,-3,-3,-2,3,-2,3,-2,-2,2,-2,3,-2,-3,-2,-2,2,2,-3,2,-3,-1,-2,-28,3,-3,1,3,3,-3,-1,2,-3,-3,-2,3,-2,3,-2,-2,2,-2,3,-2,-3,-2,-2,2,2,-3,2,-3,-1,-2,138,138,1573248777.5829282,1573248915.3024926,2019-11-08 22:35:15.629400,0,A270H#####LJ8W
20,ras:uMto4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,1,-2,-2,-2,-3,-2,-2,-3,1,-2,-2,1,3,2,-2,-2,-1,-2,2,1,1,2,-2,1,-2,-1,-3,2,-2,43,-1,1,-2,-2,-2,-3,-2,-2,-3,1,-2,-2,1,3,2,-2,-2,-1,-2,2,1,1,2,-2,1,-2,-1,-3,2,-2,102,102,1573249855.281747,1573249957.112157,2019-11-08 22:52:37.224701,0,AOWW3#####J6U
