,completion_code,job_id,q1,q2,q3,q4,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
0,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,3,9,6,4,3.005,1.0499999999999998,1.99,4.0,4.98,74,74,1572988901.1979365,1572988975.5999315,2019-11-05 22:22:55.734508,2,A2W3A#####J861
1,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,2,2,2,2,1.82,1.04,1.2000000000000002,2.0,3.04,31,31,1572991892.9811924,1572991923.6341505,2019-11-05 23:12:03.805556,2,AT6LD#####USE
2,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,9,9,9,9,4.645,1.09,1.99,5.5,10.0,47,47,1572992856.5528898,1572992903.667885,2019-11-05 23:28:23.783317,5,A3C0N#####FTZQ
3,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,9,9,9,9,4.645,1.09,1.99,5.5,10.0,104,104,1573007538.8780339,1573007643.0370257,2019-11-06 03:34:03.309387,0,A26LO#####ZZCO
4,risk:Rfdk4,3M4KL7H8LYTJFHTGREFEY3P023061U,0,0,4,3,2.2475,1.0,1.0,3.0,3.9899999999999998,35,35,1573085021.3068664,1573085055.995963,2019-11-07 01:04:16.231893,0,A1N16#####QEY6
5,risk:J3ufc,3M4KL7H8LYTJFHTGREFEY3P023061U,0,1,1,1,1.3975,1.0,1.08,1.53,1.9800000000000002,47,47,1573085809.734661,1573085856.9260442,2019-11-07 01:17:37.175345,2,A1XE5#####O5HH
6,risk:6Iey6,3M4KL7H8LYTJFHTGREFEY3P023061U,1,1,1,1,1.395,0.9900000000000001,1.08,1.53,1.9800000000000002,67,67,1573087450.1303382,1573087517.596093,2019-11-07 01:45:17.749729,2,A3UEE#####25TS
7,risk:8BcnV,3M4KL7H8LYTJFHTGREFEY3P023061U,5,5,4,5,2.8875,1.05,1.5,3.0,6.0,28,28,1573156970.691964,1573156998.4766223,2019-11-07 21:03:18.685570,4,A11C2#####G6JK
8,risk:mCKuf,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,2,3,4,5,2.8425,1.04,1.3299999999999998,3.0,6.0,189,189,1573204306.396606,1573204495.20101,2019-11-08 10:14:55.378577,5,ACRBW#####8F5
9,risk:GENVV,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,1,1,2,2,1.7775,0.9900000000000001,1.08,2.0,3.04,26,26,1573206077.1288905,1573206102.9846466,2019-11-08 10:41:43.146865,0,A1OZN#####LC9V
10,risk:Xfgpl,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,3,4,4,1,1.8525,1.0499999999999998,1.38,3.0,1.9800000000000002,37,37,1573206094.758305,1573206132.1605911,2019-11-08 10:42:12.300652,2,A3U30#####P0J6
11,risk:9TJt3,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,0,5,5,5,3.0,1.0,1.5,3.5,6.0,45,45,1573206312.3349824,1573206357.6881523,2019-11-08 10:45:57.880076,4,A1C7X#####D8JE
12,risk:dff7H,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,6,3,3,4,2.4775,1.08,1.3299999999999998,2.52,4.98,149,149,1573208147.643385,1573208296.2635126,2019-11-08 11:18:16.429384,3,A2U3H#####QNPE
