,completion_code,job_id,min_offer,resp_time_spent,time_start,time_stop,timestamp,worker_id
0,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,50,14,1572988862.2114658,1572988876.5377624,2019-11-05 22:21:16.668128,A2W3A#####J861
1,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,40,12,1572991796.0934827,1572991807.9458807,2019-11-05 23:10:08.114052,AT6LD#####USE
2,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,5,6,1572992822.166591,1572992827.6997297,2019-11-05 23:27:07.812981,A3C0N#####FTZQ
3,,34HEO7RUH908VO40FLB5KZ9Z2IARAN,40,20,1573007492.7052495,1573007512.8178916,2019-11-06 03:31:52.984930,A26LO#####ZZCO
4,resp:H6r4g,3M4KL7H8LYTJFHTGREFEY3P023061U,20,5,1573085000.6313813,1573085005.5383444,2019-11-07 01:03:25.738519,A1N16#####QEY6
5,resp:nb1Wj,3M4KL7H8LYTJFHTGREFEY3P023061U,50,7,1573085777.1834521,1573085784.2937944,2019-11-07 01:16:24.584742,A1XE5#####O5HH
6,resp:GE2gg,3M4KL7H8LYTJFHTGREFEY3P023061U,5,11,1573087385.579064,1573087396.552444,2019-11-07 01:43:16.710307,A3UEE#####25TS
7,resp:lMWV2,3M4KL7H8LYTJFHTGREFEY3P023061U,30,9,1573156946.129406,1573156954.9174974,2019-11-07 21:02:35.145852,A11C2#####G6JK
8,resp:VVgbT,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,23,1573204201.9193392,1573204224.7188292,2019-11-08 10:10:24.901649,ACRBW#####8F5
9,resp:MD15e,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,11,1573204350.3285542,1573204360.8860116,2019-11-08 10:12:41.241440,A8TIL#####G5
10,resp:Pi30t,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,35,21,1573206007.6774383,1573206028.6809325,2019-11-08 10:40:28.823433,A3U30#####P0J6
11,resp:GbegH,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,21,1573206029.0621626,1573206049.905372,2019-11-08 10:40:50.082568,A1OZN#####LC9V
12,resp:SDpcK,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,9,1573206283.898405,1573206293.0140665,2019-11-08 10:44:53.171856,A1C7X#####D8JE
13,resp:5qHuJ,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,10,14,1573208039.6182723,1573208053.3922663,2019-11-08 11:14:13.543084,A2U3H#####QNPE
14,resp:Aeca5,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,40,25,1573210343.5979483,1573210368.2608516,2019-11-08 11:52:48.720358,AUZPU#####TX5
15,resp:GT3tY,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,100,12,1573227160.1738696,1573227171.8366358,2019-11-08 16:32:51.994669,A2KBT#####J7X4
16,resp:0sAVY,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,30,176,1573229426.9874294,1573229603.153243,2019-11-08 17:13:23.759106,A3C2X#####NNLV
17,resp:lmu2v,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,5,1573232331.4340081,1573232336.8338587,2019-11-08 17:58:57.049438,A39XI#####NHFU
18,resp:BnUNS,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,6,1573248398.0898833,1573248404.5880024,2019-11-08 22:26:44.709185,A2GG7#####IXUR
19,resp:qRnBp,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,7,1573248535.0875862,1573248542.4931996,2019-11-08 22:29:02.688287,A26NG#####ATVN
20,resp:F3kHI,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,8,1573248603.2734344,1573248611.376803,2019-11-08 22:30:11.588615,A270H#####LJ8W
21,resp:y2tiF,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,4,1573249726.230169,1573249730.3497415,2019-11-08 22:48:50.458189,AOWW3#####J6U
22,resp:BH7hw,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,15,1573249776.0263863,1573249791.3948786,2019-11-08 22:49:51.601567,AMARS#####3TG
23,resp:SwnTE,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,7,1573249899.3673837,1573249906.6980782,2019-11-08 22:51:46.902201,A3I0I#####KFFZ
