age,code_cc,code_cpc,code_exp,code_ras,code_resp_prop,code_risk,completion_code,education,ethnicity,feedback,gender,income,job_id,money_division,proposer,proposer_responder,responder,test,worker_id,timestamp
5665_years,cc:4MqGq,cpc:7Qljh,exp:3gsf0,ras:UZnq9,resp:FPXkV,risk:fWOXZ,,high_school_degree,white,Thanks.,female,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,A2W3A#####J861,
4655_years,,,,,prop:tcbYN,,,bachelor_degree,white,no comments,male,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,A1TSV#####NTR4,
3645_years,cc:m1tKg,cpc:RW5RY,exp:zXcX2,ras:Cq3Tu,resp:wZVF3,risk:7vdaI,,high_school_degree,white,None.,male,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,AT6LD#####USE,
2635_years,cc:lXmPX,cpc:70rcG,exp:YGz4h,ras:qtbxZ,resp:S1gEa,risk:hmOPT,,bachelor_degree,white,,male,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,A3C0N#####FTZQ,
4655_years,cc:2juJg,cpc:nuRhY,exp:Lb0Vs,ras:rAh0w,resp:nzUte,risk:FPk95,,bachelor_degree,white,Good luck in your research!,male,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,A26LO#####ZZCO,
2635_years,,,,,prop:2RZhL,,t10:y8gsN,high_school_degree,white,,male,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,A2JDY#####M5UN,2019-11-06 23:48:34.578013
3645_years,,,,,prop:REwIB,,t10:pvDcR,master_degree,white,All good,female,Secondary source of income,34HEO7RUH908VO40FLB5KZ9Z2IARAN,correct,correct,correct,correct,ball,AEWT7#####L5V,2019-11-07 00:52:04.591979
2635_years,cc:KPRhn,cpc:kDfWA,exp:Jj7tP,ras:Ra7dI,resp:H6r4g,risk:Rfdk4,t10:A3nlF,bachelor_degree,white,Thanks,female,Primary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A1N16#####QEY6,2019-11-07 01:09:35.188871
,,,,,,,dropped,,,,,,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,,AJRY9#####69Y,2019-11-07 01:11:15.126383
2635_years,,,,,prop:HQbTw,,t10:qvn9j,master_degree,white,thanks for the survey,male,Secondary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A3UQ9#####VQKR,2019-11-07 01:15:26.014109
4655_years,cc:8V0Qq,cpc:bS2t0,exp:MyWEn,ras:aer9g,resp:nb1Wj,risk:J3ufc,t10:lM8Ct,master_degree,white,Getting zero cents for some of the extra tasks is not cool. At least a few cents for the extra tasks should be an absolute unbelievable minimum.,female,Secondary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A1XE5#####O5HH,2019-11-07 01:24:57.256395
3645_years,,,,,prop:6r3wC,,t10:5Ep1h,bachelor_degree,white,,male,Secondary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A200R#####4AJ8,2019-11-07 01:27:38.484480
