age,code_cc,code_cpc,code_exp,code_ras,code_resp_prop,code_risk,completion_code,education,ethnicity,feedback,gender,income,job_id,money_division,proposer,proposer_responder,responder,test,timestamp,worker_id
2635_years,,,,,prop:MzYkj,,t10b:aBYVY,high_school_degree,white,"No issues, questions, comments, or concerns, thanks!",male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:26:30.156913,A2BW6#####9EGV
2635_years,,,,,prop:QYHVc,,t10b:vX7Rq,bachelor_degree,hispanic_latino,,male,Primary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:28:18.107378,A1XPP#####6BQI
2635_years,,,,,prop:xTSmw,,t10b:jPw4A,bachelor_degree,white,,female,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:28:57.634287,A2Q0L#####T2KN
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect1,correct,correct,correct,,2019-12-23 12:28:57.766785,A3FT6#####KHL2
4655_years,,,,,prop:jkukZ,,t10b:mrzKk,less_than_high_school_diploma,white,none,male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:32:10.828464,A2R8I#####TY00
2635_years,,,,,prop:mcVH9,,t10b:3E72u,bachelor_degree,white,It was a good experiment.,male,Primary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:34:00.503606,A2NAK#####VGAA
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,,correct,incorrect2,correct,,2019-12-23 12:41:33.684556,A2N8R#####04AV
2635_years,,,,,prop:XXyz1,,t10b:uBYjx,bachelor_degree,hispanic_latino,,male,Primary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:46:17.417280,A36MD#####W2VQ
5665_years,,,,,prop:gVZ26,,t10b:h9pOu,bachelor_degree,white,,male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 12:53:41.226992,A1HM9#####YM7Y
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect2,correct,correct,correct,,2019-12-23 12:59:16.681620,A1FL1#####LTLL
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,,correct,incorrect1,correct,,2019-12-23 12:59:25.172164,A1448#####T4VX
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect1,correct,correct,correct,,2019-12-23 13:00:41.675081,A6JUD#####DWG
5665_years,,,,,prop:mpSe5,,t10b:vxWts,bachelor_degree,white,,male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:01:12.998959,A3OB6#####GHK1
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect1,correct,correct,correct,,2019-12-23 13:02:20.916093,A1VW5#####YM77
,,,,,,,dropped,,,Interesting survey ,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect1,incorrect1,correct,incorrect2,ball,2019-12-23 13:02:30.006592,AOHKD#####L5I
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:03:25.495324,A2T0M#####WRIY
1825_years,,,,,prop:Ue70N,,t10b:okyA1,bachelor_degree,asian,,male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:03:37.490077,A2X77#####QQYB
4655_years,,,,,prop:kSeXG,,t10b:nIpYD,master_degree,white,feel good,male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:04:29.038956,AP9NO#####RWI
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,,correct,correct,ball,2019-12-23 13:09:07.360139,AEDI6#####34
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect2,correct,correct,incorrect2,ball,2019-12-23 13:10:40.999896,A12DS#####G482
1825_years,,,,,prop:WlyAU,,t10b:53xkQ,master_degree,white,NICE,female,Primary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:10:47.572529,A2PLC#####IIW5
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,incorrect2,correct,correct,,2019-12-23 13:10:55.782466,AOVBQ#####5QX
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,,incorrect1,correct,correct,ball,2019-12-23 13:13:17.037165,A2C2W#####5HOT
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect1,correct,correct,correct,,2019-12-23 13:13:39.656279,AEZ5D#####GT8
3645_years,,,,,prop:T6owW,,t10b:IthQi,bachelor_degree,white,,male,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:13:49.943251,AYW62#####UT1
2635_years,,,,,prop:XYunm,,t10b:z1pk6,bachelor_degree,hispanic_latino,very interesting.,female,Primary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:17:19.076554,A3UMX#####WDP7
2635_years,,,,,prop:3EWuP,,t10b:UOk6r,master_degree,white,NICE,female,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:17:41.103388,A3NQ4#####H0OL
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,,correct,correct,correct,,2019-12-23 13:17:58.216135,AJVA8#####3CC
3645_years,,,,,prop:81Z2I,,t10b:EZHXb,bachelor_degree,hispanic_latino,,male,Primary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:18:04.082171,A36K4#####H00L
2635_years,,,,,prop:a4JhS,,t10b:t3Njl,bachelor_degree,black_or_african_american,none,female,Secondary source of income,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,ball,2019-12-23 13:18:18.532722,A3SYY#####AATE
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,correct,correct,correct,correct,,2019-12-23 13:21:20.715863,AT3FQ#####ZJD
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect2,correct,correct,correct,,2019-12-23 13:24:50.816044,AYXVZ#####CU7
,,,,,,,dropped,,,,,,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,incorrect1,correct,correct,correct,,2019-12-23 13:25:50.331362,AG82E#####2O5
