completion_code,exp_time_spent,exp_ultimatum_game_experience,job_id,time_spent,time_start,time_stop,timestamp,ultimatum_game_experience,worker_bonus,worker_id
exp:AmjTp,7,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,7,1575596961.145701,1575596968.471169,2019-12-06 02:49:28.678680,0,0,AQV46#####8WI
exp:vnd0G,10,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,10,1575598926.980064,1575598937.3842304,2019-12-06 03:22:17.553051,0,0,A1OZR#####OZY5
exp:P73Vk,12,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,12,1575599195.3168066,1575599207.440527,2019-12-06 03:26:47.642296,0,0,A1OSE#####3NFB
exp:0fbY4,11,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,11,1575599313.4550455,1575599324.2863674,2019-12-06 03:28:44.430647,0,0,A2S0M#####8DF
exp:78uDY,15,100,3PA41K45WQA509QNVQVW5D7U1XU7P9,15,1575600883.6096222,1575600898.9144554,2019-12-06 03:54:59.063955,100,0,AV5FC#####SKR
exp:DfDeY,11,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,11,1575600982.0937736,1575600992.8655708,2019-12-06 03:56:33.034707,0,0,A2T1J#####QHH9
exp:szX9H,7,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,7,1575601375.6302438,1575601382.1603506,2019-12-06 04:03:02.401551,1,0,A2E3T#####Q9XU
exp:YuiHa,11,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,11,1575601398.83289,1575601409.7544405,2019-12-06 04:03:29.896944,1,0,A31J3#####PIMW
exp:vEs1o,12,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,12,1575601407.7248187,1575601419.8610225,2019-12-06 04:03:40.110260,1,0,A3QCK#####AAVE
exp:jWynT,5,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,1575601432.2096035,1575601436.9301784,2019-12-06 04:03:57.062564,1,0,A21XQ#####HL4A
exp:zH8XO,8,2,3PA41K45WQA509QNVQVW5D7U1XU7P9,8,1575601429.1041152,1575601437.3893218,2019-12-06 04:03:57.671583,2,0,A2IMA#####8170
exp:vH0ZZ,11,3,3PA41K45WQA509QNVQVW5D7U1XU7P9,11,1575601498.3396485,1575601508.9792836,2019-12-06 04:05:09.568712,3,0,A2V68#####OWI1
exp:7V7O4,21,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,21,1575601535.552687,1575601556.4841864,2019-12-06 04:05:56.705373,0,0,ALYR5#####2JC
exp:OC7hD,10,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,10,1575601567.0210106,1575601576.9567883,2019-12-06 04:06:17.153681,0,0,AJ9I2#####IS8
exp:N0XaA,8,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,8,1575601573.0012364,1575601581.3406367,2019-12-06 04:06:21.478550,0,0,A2YQ3#####COL1
exp:MOfSS,11,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,11,1575601575.7807102,1575601586.8447146,2019-12-06 04:06:27.018773,1,0,A2S5G#####4S7T
exp:vTJS9,32,50,3PA41K45WQA509QNVQVW5D7U1XU7P9,32,1575601561.0975974,1575601593.0802314,2019-12-06 04:06:33.301527,50,0,AAURS#####SXC
exp:I6znc,9,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,9,1575601592.7741973,1575601602.0549774,2019-12-06 04:06:42.294552,0,0,A1R8A#####N7RH
exp:iTGFu,16,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,16,1575601587.4060733,1575601603.7113667,2019-12-06 04:06:43.918759,0,0,AV76C#####6U
exp:lwECn,11,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,11,1575601635.005021,1575601646.0820854,2019-12-06 04:07:26.250118,0,0,A2TI9#####47MZ
exp:ND9yD,6,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,6,1575601652.5856788,1575601658.896099,2019-12-06 04:07:39.097177,0,0,A3JWP#####COBP
exp:V6KhO,9,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,9,1575601663.4776638,1575601672.4104807,2019-12-06 04:07:52.557783,0,0,A265Z#####2TGT
exp:rRVkr,8,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,8,1575601682.7715394,1575601690.8064609,2019-12-06 04:08:10.931648,0,0,A1NV5#####LC92
exp:Zdjno,12,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,12,1575601706.4790528,1575601718.1122243,2019-12-06 04:08:38.279838,0,0,AZ5ZY#####XDL
exp:8t4El,15,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,15,1575601706.3203025,1575601720.8948731,2019-12-06 04:08:41.081199,0,0,AV2JA#####AJM
exp:uCaEl,12,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,12,1575601718.961269,1575601731.0101342,2019-12-06 04:08:51.261388,0,0,A3SCN#####12HR
exp:norG2,20,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,1575601720.868824,1575601740.5335953,2019-12-06 04:09:00.743658,1,0,A3DNY#####1FQF
exp:P60Un,21,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,21,1575601735.691493,1575601756.6402555,2019-12-06 04:09:16.808267,0,0,A1UBV#####VDVV
exp:0bZcu,9,1,3PA41K45WQA509QNVQVW5D7U1XU7P9,9,1575601762.2766268,1575601770.8741877,2019-12-06 04:09:30.992452,1,0,A182N#####SCZG
exp:ooBDl,19,0,3PA41K45WQA509QNVQVW5D7U1XU7P9,19,1575601758.5216155,1575601777.6999824,2019-12-06 04:09:37.891395,0,0,A1P63#####GF5E
