,completion_code,job_id,min_offer,resp_time_spent,time_start,time_stop,timestamp,worker_id
0,resp:FNmjq,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,10,1575596815.841518,1575596825.4212136,2019-12-06 02:47:05.658113,AQV46#####8WI
1,resp:th8mf,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,4,1575598809.5653148,1575598813.843682,2019-12-06 03:20:14.042468,A1OZR#####OZY5
2,resp:cz6sx,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,7,1575599119.9467728,1575599126.667349,2019-12-06 03:25:26.856928,A1OSE#####3NFB
3,resp:XxysN,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,7,1575599241.12922,1575599248.3749678,2019-12-06 03:27:28.525404,A2S0M#####8DF
4,resp:dF1xn,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,9,1575600800.7679293,1575600810.2145457,2019-12-06 03:53:30.893207,AV5FC#####SKR
5,resp:oNDnI,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,11,1575600855.9608977,1575600867.2054093,2019-12-06 03:54:27.375289,A2T1J#####QHH9
6,resp:RxiEs,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,48,1575601243.3643205,1575601291.8619933,2019-12-06 04:01:32.059092,APF1E#####4LQ
7,resp:hTLZk,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,9,1575601283.2933538,1575601292.2839737,2019-12-06 04:01:32.553867,A2E3T#####Q9XU
8,resp:whogR,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,9,1575601319.6068535,1575601328.3912034,2019-12-06 04:02:08.741026,A3QCK#####AAVE
9,resp:iS6XR,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,5,1575601329.4006262,1575601334.7875328,2019-12-06 04:02:14.940922,A31J3#####PIMW
10,resp:tC8rK,3PA41K45WQA509QNVQVW5D7U1XU7P9,35,9,1575601339.106899,1575601347.7806785,2019-12-06 04:02:28.000654,A2IMA#####8170
11,resp:iIeFH,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575601376.2557578,1575601388.163479,2019-12-06 04:03:08.311549,A21XQ#####HL4A
12,resp:pWaE1,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,15,1575601407.0356765,1575601421.9227655,2019-12-06 04:03:42.200028,AV76C#####6U
13,resp:eTQIz,3PA41K45WQA509QNVQVW5D7U1XU7P9,60,60,1575601370.4566727,1575601430.2867224,2019-12-06 04:03:50.817010,A2V68#####OWI1
14,resp:7bkNA,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,5,1575601436.6904047,1575601441.6960502,2019-12-06 04:04:01.922044,AJ9I2#####IS8
