ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
0.0899:0.1363:0.706,0.0013:0.0336:0.8212,3,30:40:50,46:16:6,3,50,0.4824547397462529,-0.3542521884522782,193.0,0.25,1,330.6666666666667,1.0,6,2.05748387729672,prop:Z5zeV,11.1661,13.097000000000001,6.4523,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,82,0,ai_equal_to_proposer,,2,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,45,real,50,50,50,13,62,A3QNC#####AVOV,51,-2,-2,-1,-2,1,-3,-2,-1,-2,-1,-1,-2,1,2,2,-2,-2,3,-1,1,2,2,3,-2,-3,-3,2,2,3,-3,161,1,10,AQV46#####8WI,4.645,1.09,1.99,5.5,10.0,95,2019-12-23 20:09:23.510405,A3QNC#####AVOV
0.9164,0.0548,1,70,90,1,50,0.7862472003636766,-0.14646590795280967,367.0,0.25,1,284.2,0.8333333333333334,5,1.6419113162977828,prop:kiAFq,11.2259,13.367,7.2735,14.0,6.5,13.0,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,91,0,ai_worse,,6,1,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,15,92,A38QG#####NQ4B,15,-2,1,2,1,-1,2,-1,-1,2,1,-1,1,1,-1,2,-2,1,2,2,1,2,2,-2,-2,-2,-2,1,-2,2,-2,196,2,4,A1OZR#####OZY5,1.8225,1.0499999999999998,1.2000000000000002,2.0,3.04,58,2019-12-23 20:11:51.415064,A38QG#####NQ4B
0.706,0.8212,1,50,46,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,323.6666666666667,1.0,6,2.533343507476646,prop:eHAFS,9.1979,11.58,3.6862,7.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,15.425,61,0,ai_equal_to_proposer,,6,5,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,40,real,25,50,50,25,26,A3IY8#####SLI4,-28,2,3,3,3,2,-2,-1,1,1,-2,2,1,-1,1,2,-1,2,-1,3,-3,-3,-1,1,1,1,2,2,-3,-2,1,106,3,7,A1OSE#####3NFB,4.17,1.08,1.6,5.0,9.0,42,2019-12-23 20:13:13.101199,A3IY8#####SLI4
0.716:0.706,0.2681:0.8212,4,55:50,36:5,2,50,1.7663033243692394,0.7905383398357327,0.0,0.0,0,481.5,0.3333333333333333,2,0.7196220810805503,prop:gkYmm,10.4847,11.142000000000001,9.2635,14.0,6.5,13.0,30.0,14.565,3.4167,15.0,2.565,-9.0,14.8,76,0,ai_much_better,,2,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,55,55,55,15,55,AWBE1#####I0I,-41,2,-3,-1,3,3,3,3,2,-1,-3,3,2,-2,2,1,1,1,-2,2,-3,1,-1,-2,-1,2,1,2,-3,-1,2,169,4,7,A2S0M#####8DF,1.0,1.0,1.0,1.0,1.0,31,2019-12-23 20:16:09.201342,AWBE1#####I0I
0.0899:0.1007:0.1538:0.9444,0.0013:0.0192:0.0767:0.0338,4,30:35:45:85,40:6:10:4,4,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:x7kDU,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,55,100,ai_much_worse,,1,1,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,14,56,A2HAP#####WYKR,67,-3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-2,3,3,-3,-3,3,-3,3,3,-1,3,-3,3,-3,3,1,3,-3,96,5,9,AV5FC#####SKR,4.645,1.09,1.99,5.5,10.0,44,2019-12-23 20:16:43.795501,A2HAP#####WYKR
0.706:0.0628:0.083:0.1007:0.9444:1.0:0.1538,0.8212:0.001:0.0007:0.0192:0.0338:0.0501:0.0767,9,50:5:25:35:85:100:45,31:6:2:3:3:2:6,7,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,339.8333333333333,1.0,6,2.533343507476646,prop:JCehr,8.1841,9.874,3.7112,7.0,4.1583,13.0,10.22,11.525,5.16,14.5,2.565,-1.0875,14.8,96,0,ai_sligthly_worse,,2,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,17,47,A2DOI#####5HHU,-24,1,-3,3,3,3,-3,-2,3,1,-1,2,3,1,1,-1,1,1,-2,3,-1,2,1,-1,3,-1,-1,2,-2,1,1,214,6,11,A2T1J#####QHH9,4.645,1.09,1.99,5.5,10.0,74,2019-12-23 20:18:14.425971,A2DOI#####5HHU
0.706,0.8212,1,50,23,1,50,1.1441994342256387,0.5526085247457696,118.0,0.25,1,19.0,0.3333333333333333,2,0.2437624509006241,prop:DUqP0,6.9906,8.679,3.2413,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.015,-1.0875,15.425,19,1,ai_much_better,,4,4,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,40,real,50,50,50,5,25,A2T9G#####VDXG,72,-3,1,-3,-3,1,-3,-3,-3,-3,3,-1,-3,-3,3,1,-3,-3,3,-3,3,3,3,3,-3,-3,-3,2,2,3,-3,64,7,9,A2E3T#####Q9XU,4.645,1.09,1.99,5.5,10.0,59,2019-12-23 20:18:20.993147,A2T9G#####VDXG
0.706,0.8212,1,50,26,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:ZprXg,7.2172,6.404,5.8725,7.0,6.5,2.2333,10.22,11.525,3.4167,15.0,2.565,-1.0875,14.8,44,1,ai_equal_to_proposer,,3,4,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,13,25,A15SU#####ZFCD,76,-3,2,-3,-3,-3,-3,-3,-3,-3,2,2,-3,2,3,3,-3,-3,2,-3,3,2,3,2,-3,-3,-3,2,2,2,-3,79,8,9,A3QCK#####AAVE,1.7375,1.05,1.3299999999999998,1.53,3.04,36,2019-12-23 20:18:31.464514,A15SU#####ZFCD
0.1363:0.706,0.0336:0.8212,2,40:50,33:23,2,50,0.7862472003636766,-0.14646590795280967,309.0,0.25,1,308.2,0.8333333333333334,5,1.6419113162977828,prop:etTWW,9.6198,11.372,6.1398,7.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.015,-9.0,14.8,84,1,ai_equal_to_proposer,,6,3,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,14,48,A2LX4#####LYEO,21,-2,1,1,1,2,-3,2,-2,-3,1,1,-1,1,3,3,-1,2,-1,2,1,2,2,-1,-1,2,-1,2,2,1,-3,120,10,12,A21XQ#####HL4A,1.51,1.0,1.0,1.0,3.04,18,2019-12-23 20:22:31.459919,A2LX4#####LYEO
0.706:0.1363,0.8212:0.0336,3,50:40,32:14,2,50,0.4824547397462529,1.0287419386483598,231.0,0.25,1,0.0,0.0,0,-0.7085043769045564,prop:ViuQA,10.609000000000002,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,26,3,ai_better,,2,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,60,real,50,50,50,17,46,A3VPK#####Y78Q,2,2,1,2,3,2,1,2,-2,2,3,2,3,1,2,-1,-2,2,3,-1,2,3,2,2,-1,3,2,1,2,3,2,87,11,60,A2V68#####OWI1,3.5975,1.09,1.8,4.5,7.0,21,2019-12-23 20:22:44.560191,A3VPK#####Y78Q
0.706:0.0069:1.0:0.7877:0.8876:0.1538,0.8212:0.0489:0.0501:0.3978:0.13:0.0767,8,50:0:100:60:65:45,33:6:4:3:5:9,6,50,1.93799095924558,0.5751746901880039,0.0,0.0,0,365.66666666666674,0.5,3,1.150349380376008,prop:yz3OE,10.609000000000002,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,58,0,ai_slighly_better,,2,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,10,57,A2H8B#####2GD,-8,1,-3,2,-1,1,1,-1,1,-2,1,-2,3,-1,1,-1,-3,1,-1,1,-1,-1,-1,1,1,1,-3,1,-3,-1,-2,69,13,7,A2YQ3#####COL1,1.0,1.0,1.0,1.0,1.0,18,2019-12-23 20:23:06.899792,A2H8B#####2GD
0.1363,0.0336,1,40,32,1,50,0.6262834321863123,-0.4837107830508505,134.5,0.5,2,340.2,0.8333333333333334,5,0.9674215661017009,prop:kcLqQ,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,65,0,ai_better,,6,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,5,real,50,50,50,11,34,A1F4N#####YKVZ,-7,1,-1,-1,-2,-1,-2,1,-2,-1,2,-1,-1,-2,1,1,-1,2,-3,1,-2,-3,1,-3,1,1,-1,-1,-3,-2,-2,78,14,12,A265Z#####2TGT,2.875,1.0,1.0,3.5,6.0,41,2019-12-23 20:23:07.969275,A1F4N#####YKVZ
