job_id,min_offer,min_offer_dss,min_offer_final,resp_time_spent,worker_id,status,updated,resp_worker_id,ai_offer,model_type
REFT12A,50,50,50,17,A2NS7#####ZTE5,judged,1576808151.9432912,A1SIU#####S8UO,50,real
REFT12A,50,50,50,6,AKNV0#####YAC,judged,1576806327.201615,A3HMD#####JB7E,50,real
REFT12A,45,45,45,20,A3T9W#####E2UW,judged,1576806624.902051,A2Q4Z#####W6WD,50,real
REFT12A,100,75,75,12,A2SUS#####ZCPM,judged,1576808300.8888144,A3B82#####9MPZ,50,real
REFT12A,35,75,75,4,A1YSY#####BOHW,judged,1576808451.7394888,A1K52#####VK4Y,50,real
REFT12A,25,65,65,4,AFU00#####FXE,judged,1576808995.7316136,A33XI#####GURD,50,real
REFT12A,40,40,40,8,A2QP9#####R7C2,judged,1576809262.5609329,A3APK#####9IMW,50,real
REFT12A,40,40,40,13,A30AG#####IEL,judged,1576809428.6627817,A1OQI#####EJ4P,50,real
REFT12A,50,25,25,20,A2AAF#####C1QC,judged,1576809425.3961082,A1HWK#####PXR,50,real
REFT12A,30,25,25,11,A3KC3#####YEG5,judged,1576809392.4930723,A3PLE#####2BIV,50,real
REFT12A,10,20,20,6,A1TK4#####CMQJ,judged,1576809432.3287616,AO6PL#####5X9,50,real
REFT12A,35,35,35,18,A3V4A#####BHDO,judged,1576809398.698786,A1W1X#####RKF3,50,real
REFT12A,40,40,40,13,A1H5Q#####RPZU,judged,1576809408.279025,A1XVE#####3ERE,50,real
REFT12A,50,50,50,81,A32J0#####D8C0,judged,1576809717.5801058,A38Z5#####FBL1,50,real
REFT12A,50,85,85,17,AN3F3#####NAM,judged,1576809439.0551505,A3N5H#####NPX2,50,real
REFT12A,50,50,50,6,A2R89#####G05I,judged,1576809591.0309758,AZCGS#####E6X,50,real
REFT12A,10,100,100,12,A2HJD#####MH8Q,judged,1576809556.8808146,A15PN#####QKGX,50,real
REFT12A,40,40,40,21,A2N67#####Z3Z,judged,1576809609.4930851,A3DSX#####T30T,50,real
REFT12A,15,25,25,8,AP9M4#####FYM,judged,1576809722.6253557,AGPUA#####RR6,50,real
REFT12A,45,35,35,16,A1NGI#####YCD9,judged,1576809770.4283125,A1DI0#####QTW8,50,real
REFT12A,50,50,50,7,A15SJ#####I3B3,judged,1576809701.288609,A1WJU#####TRC6,50,real
REFT12A,50,50,50,12,A1NCW#####AP2K,judged,1576809836.445587,A7P3R#####TVV,50,real
REFT12A,30,25,25,18,A31ZL#####6CRY,judged,1576809690.5427432,AKCUB#####2E1,50,real
REFT12A,30,30,30,13,ANBWJ#####68T,judged,1576809761.4560905,A2VUU#####7V4,50,real
REFT12A,50,30,30,151,A342Y#####THWO,judged,1576809814.0226462,A3HK5#####5TZZ,50,real
REFT12A,40,40,40,14,A1CIN#####8SGL,judged,1576809938.9691336,A2PSR#####1R9X,50,real
REFT12A,40,40,40,17,APO6K#####O9Q,judged,1576809980.1217403,A3O70#####LQMJ,50,real
REFT12A,35,40,40,55,ANSS4#####8WM,judged,1576809903.5421753,A3B52#####8QIG,50,real
REFT12A,5,5,5,18,A2T5N#####NTK2,judged,1576809884.611317,A3SDF#####7FGP,50,real
REFT12A,25,15,15,16,A1KS9#####53CF,judged,1576809966.013147,A8Z5S#####3GQ,50,real
