ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,resp_rowid,resp_time_spent,resp_worker_id,timestamp,worker_id
0.0899:0.1007:0.706:0.1538,0.0013:0.0192:0.8212:0.0767,4,30:35:50:45,24:4:2:3,4,50,prop:on5SF,ai_equal_to_proposer,3,2,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,35,40,40,13,27,AKNV0#####YAC,2,6,A3HMD#####JB7E,2019-12-20 02:45:27.220014,AKNV0#####YAC
,,0,,,0,50,prop:5xii6,ai_equal_to_proposer,3,5,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,45,45,45,real,50,50,50,12,86,A3T9W#####E2UW,3,20,A2Q4Z#####W6WD,2019-12-20 02:50:24.924607,A3T9W#####E2UW
1.0,0.0501,1,100,27,1,50,prop:Zreoc,ai_slighly_better,1,4,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,100,80,80,13,26,A2NS7#####ZTE5,1,17,A1SIU#####S8UO,2019-12-20 03:15:51.971993,A2NS7#####ZTE5
0.0782:0.706:0.1007:0.1363:0.1538,0.0007:0.8212:0.0192:0.0336:0.0767,5,20:50:35:40:45,58:7:4:4:4,5,50,prop:chpfL,ai_equal_to_proposer,2,4,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,100,75,75,real,50,50,50,14,73,A2SUS#####ZCPM,4,12,A3B82#####9MPZ,2019-12-20 03:18:20.924073,A2SUS#####ZCPM
0.1363:0.706,0.0336:0.8212,2,40:50,45:11,2,50,prop:h1I4e,ai_equal_to_proposer,4,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,35,75,75,real,50,45,45,10,52,A1YSY#####BOHW,5,4,A1K52#####VK4Y,2019-12-20 03:20:51.747667,A1YSY#####BOHW
,,0,,,0,50,prop:IUgua,ai_equal_to_proposer,3,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,25,65,65,real,40,40,40,22,23,AFU00#####FXE,6,4,A33XI#####GURD,2019-12-20 03:29:55.744749,AFU00#####FXE
0.706:0.083:0.9277,0.8212:0.0007:0.0528,4,50:25:75,32:12:11,3,50,prop:pe3Fz,ai_equal_to_proposer,2,4,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,50,50,12,59,A2QP9#####R7C2,7,8,A3APK#####9IMW,2019-12-20 03:34:22.566018,A2QP9#####R7C2
0.706,0.8212,1,50,43,1,50,prop:0smfb,ai_slighly_better,1,6,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,25,25,real,50,50,50,13,47,A3KC3#####YEG5,10,11,A3PLE#####2BIV,2019-12-20 03:36:32.501947,A3KC3#####YEG5
0.706,0.8212,1,50,42,1,50,prop:gsZNq,ai_better,4,6,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,35,35,35,real,50,50,50,16,41,A3V4A#####BHDO,12,18,A1W1X#####RKF3,2019-12-20 03:36:38.709978,A3V4A#####BHDO
0.083:0.706:0.0899,0.0007:0.8212:0.0013,3,25:50:30,33:10:9,3,50,prop:hKt6L,ai_sligthly_worse,3,6,2,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,25,50,50,18,41,A1H5Q#####RPZU,13,13,A1XVE#####3ERE,2019-12-20 03:36:48.289041,A1H5Q#####RPZU
