ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,job_id,min_offer,min_offer_dss,min_offer_final,offer,offer_dss,offer_final,prop_time_spent,prop_worker_id,resp_time_spent,resp_worker_id,rowid,status,time_start,time_start_dss,time_stop,time_stop_dss,timestamp,updated,worker_id
0.7091,0.7938,1,50,25,1,50,respNF:wk8LH,REFT10A,50,50,50,50,50,50,10,A1TSV#####NTR4,17,A1SIU#####S8UO,1,judgeable,1576756997.6023133,1576757015.2635407,1576757015.030356,1576757023.9931476,2019-11-05 22:58:30.564397,0.0,
0.8947:0.0353:0.0343:0.9838,0.342:0.0028:0.0017:0.0123,8,75:20:15:90,-278:20:290:33,4,50,respNF:vjHY0,REFT10A,50,50,50,15,75,75,20,A2K17#####21BG,6,A3HMD#####JB7E,2,judgeable,1576757331.701808,1576757337.6257842,1576757337.457229,1576757352.180083,2019-11-05 23:58:42.196765,0.0,
0.7091,0.7938,1,50,32,1,50,respNF:EWbU4,REFT10A,45,45,45,50,50,50,10,A2JDY#####M5UN,20,A2Q4Z#####W6WD,3,judgeable,1576757333.5710337,1576757353.4804494,1576757353.320812,1576757369.4757538,2019-11-06 23:48:02.399423,0.0,
0.2036,0.0759,1,45,31,1,50,respNF:lOYMY,REFT10A,100,75,75,45,50,50,20,AEWT7#####L5V,12,A3B82#####9MPZ,4,judgeable,1576757633.3861291,1576757645.0872838,1576757644.942569,1576757653.821315,2019-11-07 00:51:36.194905,0.0,
0.0054:0.0213,0.0073:0.0009,2,0:5,35:4,2,50,respNF:eve6E,REFT10A,35,75,75,0,5,5,9,A3UQ9#####VQKR,4,A1K52#####VK4Y,5,judgeable,1576757962.0631752,1576757966.368389,1576757965.9528892,1576757970.9630442,2019-11-07 01:14:44.139275,0.0,
0.7091,0.7938,1,50,41,1,50,respNF:h3AKs,REFT10A,25,65,65,50,50,50,12,A200R#####4AJ8,4,A33XI#####GURD,6,judgeable,1576758194.7224486,1576758199.1239843,1576758198.721511,1576758203.1757267,2019-11-07 01:26:35.759224,0.0,
0.7091,0.7938,1,50,50,1,50,respNF:9CYzm,REFT10A,40,40,40,50,50,50,15,A2UP4#####92NV,8,A3APK#####9IMW,7,judgeable,1576758240.0281951,1576758248.360735,1576758248.189379,1576758266.7872496,2019-11-07 02:04:14.650700,0.0,
0.1068:0.1805:0.7662:0.1292:0.7091,0.0039:0.0508:0.4424:0.0586:0.7938,6,30:40:60:35:50,33:4:5:12:4,5,50,respNF:KEhDv,REFT10A,40,40,40,30,50,50,19,A3KQT#####8T1Z,13,A1OQI#####EJ4P,8,judgeable,1576758333.0959847,1576758345.9161122,1576758345.7665348,1576758366.1775444,2019-11-07 21:56:00.910988,0.0,
0.0353:0.0887:0.1805:0.1292,0.0028:0.0284:0.0508:0.0586,4,20:25:40:35,33:10:3:3,4,50,respNF:FQmqW,REFT10A,50,25,25,25,40,40,13,A4SC8#####GEG,20,A1HWK#####PXR,9,judgeable,1576758355.8429992,1576758376.494057,1576758375.6569824,1576758392.5965507,2019-11-08 10:34:05.877963,0.0,
,,0,,,0,50,respNF:OhJCH,REFT10A,30,25,25,10,30,30,21,A19ZA#####0BKI,11,A3PLE#####2BIV,10,judgeable,1576758419.69521,1576758432.6205583,1576758430.8026404,1576758450.3072724,2019-11-08 10:54:11.247331,0.0,
0.7091,0.7938,1,50,20,1,50,respNF:MGoBl,REFT10A,10,20,20,50,50,50,7,A12OZ#####1SJI,6,AO6PL#####5X9,11,judgeable,1576758401.8834536,1576758408.0752754,1576758407.9559112,1576758416.734376,2019-11-08 10:57:07.696349,0.0,
0.7091:0.0054:0.1292:0.2036:0.8732,0.7938:0.0073:0.0586:0.0759:0.0704,6,50:0:35:45:65,22:14:8:10:6,5,50,respNF:rPrNU,REFT10A,35,35,35,50,50,50,9,AFIK3#####6G6,18,A1W1X#####RKF3,12,judgeable,1576758448.881993,1576758467.2608907,1576758467.0669725,1576758499.0274642,2019-11-08 10:58:22.215034,0.0,
0.7091,0.7938,1,50,24,1,50,respNF:JezIP,REFT10A,40,40,40,50,50,50,12,A3UN1#####KKE6,13,A1XVE#####3ERE,13,judgeable,1576758532.9401388,1576758546.3811805,1576758546.2034814,1576758567.7950525,2019-11-08 11:41:36.926746,0.0,
0.1805:0.2036:0.8947:0.0887:0.986:0.972:0.1068:0.8732:0.7091,0.0508:0.0759:0.342:0.0284:0.0732:0.0635:0.0039:0.0704:0.7938,11,40:45:75:25:95:85:30:65:50,32:7:5:2:4:9:4:2:6,9,50,respNF:cbCvp,REFT10A,50,50,50,50,50,50,18,A1AEN#####Y9NJ,81,A38Z5#####FBL1,14,judgeable,1576758453.6352994,1576758535.2417662,1576758534.8892202,1576758562.4859293,2019-11-08 15:18:48.331654,0.0,
0.7091,0.7938,1,50,22,1,50,respNF:SCBOo,REFT10A,50,85,85,50,50,50,12,AL2JY#####Z2H,17,A3N5H#####NPX2,15,judgeable,1576758637.6109385,1576758655.1713796,1576758654.7027447,1576758673.26798,2019-11-08 16:56:19.800539,0.0,
0.0353,0.0028,1,20,31,1,50,respNF:qnHnD,REFT10A,50,50,50,25,25,25,22,A3BXT#####C6F3,6,AZCGS#####E6X,16,judgeable,1576758704.2026138,1576758710.7833717,1576758710.6743524,1576758732.5392218,2019-11-08 17:46:32.171415,0.0,
0.0213:0.1292:0.986:0.7091,0.0009:0.0586:0.0732:0.7938,5,5:35:95:50,51:23:4:3,4,50,respNF:Ehn6S,REFT10A,10,100,100,5,5,5,38,A3NMU#####ZCNC,12,A15PN#####QKGX,17,judgeable,1576758799.800164,1576758812.6508594,1576758812.2036989,1576758824.2859268,2019-11-08 18:45:20.864974,0.0,
0.7091,0.7938,1,50,44,1,50,respNF:B4GIO,REFT10A,40,40,40,50,50,50,15,A36DK#####J942,21,A3DSX#####T30T,18,judgeable,1576758830.9565625,1576758852.3016136,1576758851.767881,1576758893.6364603,2019-11-08 22:41:23.451910,0.0,
0.0887:0.1292:0.8947:0.1805,0.0284:0.0586:0.342:0.0508,4,25:35:75:40,41:4:7:9,4,50,respNF:aCJxI,REFT10A,15,25,25,40,40,40,24,A2WVC#####YGML,8,AGPUA#####RR6,19,judgeable,1576758958.5810812,1576758967.0013564,1576758966.8690956,1576758972.28601,2019-11-08 22:45:33.636798,0.0,
0.7091:0.1805,0.7938:0.0508,2,50:40,20:9,2,50,respNF:e46YI,REFT10A,45,35,35,50,50,50,8,A219Y#####4TM2,16,A1DI0#####QTW8,20,judgeable,1576759006.160481,1576759022.1812031,1576759021.9974008,1576759027.9787388,2019-11-08 22:47:44.669670,0.0,
0.7091:0.2036:0.7187,0.7938:0.0759:0.182,4,50:45:55,43:13:8,3,50,respNF:DMwjW,REFT10A,50,50,50,50,50,50,13,A3M8U#####JPDF,7,A1WJU#####TRC6,21,judgeable,1576759090.5428212,1576759097.7475855,1576759097.3640945,1576759110.995542,2019-11-08 23:00:29.191596,0.0,
0.7091,0.7938,1,50,13,1,50,respNF:XP41Y,REFT10A,50,50,50,50,50,50,7,A2CJY#####7HN6,12,A7P3R#####TVV,22,judgeable,1576759125.1067376,1576759137.1910744,1576759136.8484147,1576759153.0571873,2019-11-08 23:00:54.097374,0.0,
0.1805:0.7091,0.0508:0.7938,2,40:50,35:12,2,50,respNF:MpdmS,REFT10A,30,25,25,50,50,50,15,A3UDU#####D833,18,AKCUB#####2E1,23,judgeable,1576759165.1404455,1576759182.8613217,1576759182.7180502,1576759190.4113197,2019-11-08 23:05:43.812139,0.0,
