ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,offer,offer_dss,offer_final,prop_time_spent,prop_worker_id,resp_time_spent,resp_worker_id,rowid,status,time_start,time_start_dss,time_stop,time_stop_dss,timestamp,updated,worker_id
0.0899:0.1007:0.706:0.1538,0.0013:0.0192:0.8212:0.0767,4,30:35:50:45,24:4:2:3,4,50,respNF:FK1wn,ai_equal_to_proposer,2,5,REFT11B,50,50,50,35,40,40,13,AKNV0#####YAC,9,A2I6Z#####CVSC,1,judgeable,1576875105.6867695,1576875114.6240046,1576875114.4578278,1576875122.8681338,2019-12-20 02:45:27.220014,0,
,,0,,,0,50,respNF:JqgCh,ai_equal_to_proposer,5,3,REFT11B,30,40,40,50,50,50,12,A3T9W#####E2UW,14,A2AM6#####G9MB,2,judgeable,1576875218.4828415,1576875232.8597198,1576875232.6437855,1576875259.709914,2019-12-20 02:50:24.924607,0,
1.0,0.0501,1,100,27,1,50,respNF:7RK38,ai_slighly_better,4,4,REFT11B,20,85,85,100,80,80,13,A2NS7#####ZTE5,7,APNLP#####A53,3,judgeable,1576875583.7488563,1576875590.7634387,1576875590.6090758,1576875599.290601,2019-12-20 03:15:51.971993,0,
0.0782:0.706:0.1007:0.1363:0.1538,0.0007:0.8212:0.0192:0.0336:0.0767,5,20:50:35:40:45,58:7:4:4:4,5,50,respNF:3lJgz,ai_equal_to_proposer,4,5,REFT11B,85,70,70,50,50,50,14,A2SUS#####ZCPM,7,A27PI#####XHRB,4,judgeable,1576877188.5944858,1576877195.3596785,1576877195.209909,1576877202.3035045,2019-12-20 03:18:20.924073,0,
0.1363:0.706,0.0336:0.8212,2,40:50,45:11,2,50,respNF:m2EIj,ai_equal_to_proposer,3,6,REFT11B,50,50,50,50,45,45,10,A1YSY#####BOHW,9,A23CX#####L0CQ,5,judgeable,1576877857.5239468,1576877866.8137522,1576877866.1174085,1576877874.3968089,2019-12-20 03:20:51.747667,0,
,,0,,,0,50,respNF:xo1cH,ai_equal_to_proposer,3,5,REFT11B,50,50,50,40,40,40,22,AFU00#####FXE,7,A3LJE#####RF1G,6,judgeable,1576877941.8098726,1576877949.2928882,1576877948.9111092,1576877963.6285434,2019-12-20 03:29:55.744749,0,
0.706:0.083:0.9277,0.8212:0.0007:0.0528,4,50:25:75,32:12:11,3,50,respNF:Ae9Oq,ai_equal_to_proposer,4,5,REFT11B,50,50,50,50,50,50,12,A2QP9#####R7C2,7,A2ZW2#####HX3G,7,judgeable,1576879050.0083604,1576879056.6832006,1576879056.5097296,1576879076.6721263,2019-12-20 03:34:22.566018,0,
0.706,0.8212,1,50,43,1,50,respNF:0Wjnz,ai_slighly_better,6,4,REFT11B,25,10,10,50,50,50,13,A3KC3#####YEG5,31,A3LT7#####OAKF,8,judgeable,1576880260.899144,1576880291.9848871,1576880291.7121062,1576880356.1059897,2019-12-20 03:36:32.501947,0,
0.706,0.8212,1,50,42,1,50,respNF:vHKWI,ai_better,6,3,REFT11B,50,40,40,50,50,50,16,A3V4A#####BHDO,8,A16AN#####KCVG,9,judgeable,1576881137.5737898,1576881145.526451,1576881145.3765547,1576881172.9611335,2019-12-20 03:36:38.709978,0,
0.083:0.706:0.0899,0.0007:0.8212:0.0013,3,25:50:30,33:10:9,3,50,respNF:HCPTk,ai_sligthly_worse,6,2,REFT11B,45,50,50,25,50,50,18,A1H5Q#####RPZU,10,A26RO#####AXGG,10,judgeable,1576881305.4683409,1576881315.3517728,1576881315.1048858,1576881351.3379102,2019-12-20 03:36:48.289041,0,
0.706:0.7877:0.9556:1.0:0.0899:0.1538,0.8212:0.3978:0.1957:0.0501:0.0013:0.0767,7,50:60:95:100:30:45,48:17:10:7:8:9,6,50,respNF:FUf99,ai_equal_to_proposer,1,7,REFT11B,30,30,30,50,50,50,14,A2AAF#####C1QC,14,A3NKZ#####X0ZP,11,judgeable,1576881422.4581025,1576881436.5496917,1576881436.3932033,1576881462.6613307,2019-12-20 03:37:05.425012,0,
0.706,0.8212,1,50,108,1,50,respNF:cvGQO,ai_sligthly_worse,4,7,REFT11B,50,50,50,50,50,50,18,A30AG#####IEL,13,A21OJ#####LRJ9,12,judgeable,1576881826.8828316,1576881840.3113854,1576881840.126246,1576881867.909907,2019-12-20 03:37:08.681613,0,
0.1363:0.0069:0.706:0.083:0.1538,0.0336:0.0489:0.8212:0.0007:0.0767,6,40:0:50:25:45,45:8:4:11:10,5,50,respNF:RCh1G,ai_much_worse,7,1,REFT11B,50,50,50,40,40,40,14,A1TK4#####CMQJ,13,A2EKR#####0VMV,13,judgeable,1576881965.9515183,1576881979.6068957,1576881979.3010497,1576881994.1266978,2019-12-20 03:37:12.363748,0,
0.706,0.8212,1,50,33,1,50,respNF:OcuZd,ai_equal_to_proposer,3,6,REFT11B,50,50,50,50,50,50,9,AN3F3#####NAM,12,A381D#####MEWZ,14,judgeable,1576882041.1426983,1576882053.206146,1576882053.0648081,1576882063.3409295,2019-12-20 03:37:19.072899,0,
0.706,0.8212,1,50,61,1,50,respNF:3bRIY,ai_equal_to_proposer,3,5,REFT11B,50,50,50,50,50,50,14,A2HJD#####MH8Q,13,A22NU#####OJZ,15,judgeable,1576882108.1723015,1576882121.6784413,1576882121.437729,1576882145.2945702,2019-12-20 03:39:16.889209,0,
0.0628:0.0708:0.1363:0.706:0.1538,0.001:0.0008:0.0336:0.8212:0.0767,6,5:15:40:50:45,73:12:4:10:6,5,50,respNF:qsn6t,ai_sligthly_worse,3,6,REFT11B,30,30,30,30,30,30,19,A2R89#####G05I,14,A3KA3#####PMPA,16,judgeable,1576883128.206219,1576883142.8275943,1576883142.614403,1576883156.551018,2019-12-20 03:39:51.053093,0,
0.0899,0.0013,1,30,65,1,50,respNF:87Sih,ai_slighly_better,3,3,REFT11B,40,45,45,30,35,35,46,A2N67#####Z3Z,11,A2EAI#####SIO5,17,judgeable,1576883123.5576882,1576883134.429995,1576883134.2871933,1576883157.2315934,2019-12-20 03:40:09.547195,0,
0.0782,0.0007,1,20,63,1,50,respNF:f0gai,ai_equal_to_proposer,3,5,REFT11B,50,50,50,25,35,35,49,A31ZL#####6CRY,8,A7SXW#####40R,18,judgeable,1576883185.1363904,1576883193.5217235,1576883193.4074583,1576883203.6738896,2019-12-20 03:41:30.564265,0,
