completion_code,feedback_accuracy,feedback_alternative,feedback_fairness,job_id,min_offer,min_offer_dss,min_offer_final,resp_time_spent,time_start,time_start_dss,time_stop,time_stop_dss,timestamp,worker_id
respNF:FK1wn,ai_better,6,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,9,1576875105.6867695,1576875114.6240046,1576875114.4578278,1576875122.8681338,2019-12-20 21:52:08.780791,A2I6Z#####CVSC
respNF:JqgCh,ai_slighly_better,5,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,40,40,14,1576875218.4828415,1576875232.8597198,1576875232.6437855,1576875259.709914,2019-12-20 21:54:45.728627,A2AM6#####G9MB
respNF:7RK38,ai_slighly_better,4,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,20,85,85,7,1576875583.7488563,1576875590.7634387,1576875590.6090758,1576875599.290601,2019-12-20 22:00:05.640169,APNLP#####A53
respNF:3lJgz,ai_equal_to_proposer,3,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,85,70,70,7,1576877188.5944858,1576877195.3596785,1576877195.209909,1576877202.3035045,2019-12-20 22:26:50.295208,A27PI#####XHRB
respNF:m2EIj,ai_slighly_better,5,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,9,1576877857.5239468,1576877866.8137522,1576877866.1174085,1576877874.3968089,2019-12-20 22:38:02.563674,A23CX#####L0CQ
respNF:xo1cH,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,7,1576877941.8098726,1576877949.2928882,1576877948.9111092,1576877963.6285434,2019-12-20 22:39:39.878382,A3LJE#####RF1G
respNF:Ae9Oq,ai_sligthly_worse,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,7,1576879050.0083604,1576879056.6832006,1576879056.5097296,1576879076.6721263,2019-12-20 22:58:18.244667,A2ZW2#####HX3G
respNF:0Wjnz,ai_sligthly_worse,3,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,10,10,31,1576880260.899144,1576880291.9848871,1576880291.7121062,1576880356.1059897,2019-12-20 23:19:52.132996,A3LT7#####OAKF
respNF:vHKWI,ai_slighly_better,6,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,40,40,8,1576881137.5737898,1576881145.526451,1576881145.3765547,1576881172.9611335,2019-12-20 23:33:16.595215,A16AN#####KCVG
respNF:HCPTk,ai_much_worse,6,7,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,50,50,10,1576881305.4683409,1576881315.3517728,1576881315.1048858,1576881351.3379102,2019-12-20 23:36:05.725831,A26RO#####AXGG
respNF:FUf99,ai_sligthly_worse,3,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,30,30,14,1576881422.4581025,1576881436.5496917,1576881436.3932033,1576881462.6613307,2019-12-20 23:37:59.567755,A3NKZ#####X0ZP
