code_cc,code_cpc,code_exp,code_ras,code_resp_prop,code_risk,completion_code,ethnicity,feedback,job_id,money_division,proposer,proposer_responder,responder,timestamp,worker_id,age,gender,income,test,education
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,incorrect1,correct,incorrect1,2019-12-20 21:52:00.425702,A39SA#####M1D1,,,,,
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,,incorrect2,incorrect2,incorrect1,2019-12-20 22:00:53.855685,ACQ90#####Z2U,,,,,
,,,,respNF:3lJgz,,t13a:kvEKs,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 22:27:18.400616,A27PI#####XHRB,3645_years,female,Secondary source of income,ball,bachelor_degree
,,,,respNF:m2EIj,,t13a:VIyTV,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 22:38:43.678975,A23CX#####L0CQ,2635_years,female,Secondary source of income,ball,bachelor_degree
,,,,respNF:xo1cH,,t13a:cipuH,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 22:40:07.052962,A3LJE#####RF1G,2635_years,male,Primary source of income,ball,high_school_degree
,,,,respNF:Ae9Oq,,t13a:didBX,black_or_african_american,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 22:58:53.259941,A2ZW2#####HX3G,3645_years,male,Secondary source of income,ball,master_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:04:45.190658,A18HG#####0R8B,,,,ball,
,,,,respNF:0Wjnz,,t13a:09ykH,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:21:50.821116,A3LT7#####OAKF,5665_years,male,Secondary source of income,ball,bachelor_degree
,,,,respNF:HCPTk,,t13a:2TPsq,white,none,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:37:05.666743,A26RO#####AXGG,5665_years,female,Secondary source of income,ball,bachelor_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,incorrect1,correct,correct,correct,2019-12-20 23:39:43.460567,A2QV3#####FH1P,,,,,
,,,,respNF:vHKWI,,t13a:AjiER,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:40:00.330786,A16AN#####KCVG,3645_years,male,Primary source of income,ball,bachelor_degree
,,,,respNF:FUf99,,t13a:S2nPK,hispanic_latino,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:40:30.170332,A3NKZ#####X0ZP,1825_years,male,Secondary source of income,ball,bachelor_degree
,,,,respNF:cvGQO,,t13a:pmz9w,black_or_african_american:hispanic_latino,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:45:36.213101,A21OJ#####LRJ9,1825_years,female,Secondary source of income,ball,high_school_degree
,,,,respNF:RCh1G,,t13a:crUpC,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:47:19.657413,A2EKR#####0VMV,2635_years,female,Secondary source of income,ball,bachelor_degree
,,,,respNF:OcuZd,,t13a:bupTw,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:48:41.585948,A381D#####MEWZ,3645_years,female,Secondary source of income,ball,bachelor_degree
,,,,respNF:3bRIY,,t13a:wxaz0,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-20 23:50:04.777259,A22NU#####OJZ,4655_years,female,Primary source of income,ball,high_school_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,incorrect2,incorrect1,incorrect1,incorrect2,2019-12-21 00:00:37.236639,A35EQ#####B18A,,,,ball,
,,,,respNF:qsn6t,,t13a:FOipe,asian,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:06:32.300183,A3KA3#####PMPA,2635_years,male,Secondary source of income,ball,high_school_degree
,,,,respNF:87Sih,,t13a:Cae9x,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:07:03.032536,A2EAI#####SIO5,4655_years,female,Secondary source of income,ball,high_school_degree
,,,,respNF:f0gai,,t13a:Dts9C,white,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:07:15.627059,A7SXW#####40R,1825_years,male,Secondary source of income,ball,bachelor_degree
,,,,respNF:I4IBo,,t13a:DOCjs,asian,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:08:00.692863,A3VN7#####NVFQ,1825_years,male,I earn nearly equal incomes from crowdsourced microtasks and other job(s),ball,high_school_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,incorrect2,correct,incorrect1,incorrect2,2019-12-21 00:08:22.770697,A1E8Z#####KTP8,,,,ball,
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,incorrect2,correct,correct,correct,2019-12-21 00:08:36.388601,A2JV4#####IXOH,,,,,
,,,,respNF:D188e,,t13a:akkAY,asian,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:10:28.010775,A1W3Q#####BHWE,1825_years,male,Secondary source of income,ball,high_school_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:14:14.283644,A3TI6#####CKJF,,,,,
,,,,respNF:NiZuh,,t13a:QGeLY,white,very nice task,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:14:39.855059,A2E5F#####552,2635_years,female,Secondary source of income,ball,master_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,,correct,incorrect2,correct,2019-12-21 00:16:33.906247,A0317#####B8PHOPICC1,,,,,
,,,,respNF:tRMJO,,t13a:E8OQr,white,nothing,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:16:52.745880,A2B1X#####NBJM,2635_years,male,Secondary source of income,ball,bachelor_degree
,,,,,,dropped,,,3O4VWC1GFZCRDFM2Y1NMV092O493JO,incorrect2,correct,correct,correct,2019-12-21 00:17:03.957332,A11SA#####SBI,,,,ball,
,,,,respNF:v7Rd0,,t13a:BB1Jo,white,no,3O4VWC1GFZCRDFM2Y1NMV092O493JO,correct,correct,correct,correct,2019-12-21 00:23:25.941098,A27GN#####G19C,2635_years,male,Primary source of income,ball,bachelor_degree
