completion_code,feedback_accuracy,feedback_alternative,feedback_fairness,job_id,min_offer,min_offer_dss,min_offer_final,resp_time_spent,time_start,time_stop,time_stop_dss,timestamp,worker_id
respNF:U4xtX,ai_much_better,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,100,100,100,34,1577217201.4050179,1577217235.1037028,1577217235.1046526,2019-12-24 20:54:20.939402,A22BB#####EHPL
respNF:0xGF5,ai_sligthly_worse,6,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,29,1577217375.7764504,1577217404.667539,1577217404.668132,2019-12-24 20:57:25.409236,A2ZGA#####U2PO
respNF:q7iSt,ai_equal_to_proposer,1,7,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,26,1577217511.954424,1577217537.469117,1577217537.469637,2019-12-24 20:59:15.244924,A38DX#####A295
respNF:MdfTr,ai_better,6,7,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,100,100,100,32,1577218160.068417,1577218192.4798615,1577218192.4805632,2019-12-24 21:09:59.074241,A1PC5#####R2QA
respNF:Xw0HO,ai_worse,2,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,53,1577218203.1665606,1577218256.3033862,1577218256.3041494,2019-12-24 21:11:20.216540,AY2U5#####PMQ
respNF:2wbnI,ai_equal_to_proposer,4,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,80,80,80,14,1577218461.7661395,1577218475.4023154,1577218475.4030905,2019-12-24 21:14:44.212861,AELXP#####IMK
respNF:4HFXH,ai_slighly_better,5,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,18,1577218489.5487266,1577218507.671155,1577218507.6718729,2019-12-24 21:15:15.935278,A2IWP#####08HO
respNF:0IilN,ai_much_better,6,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,13,1577218511.187048,1577218524.3807287,1577218524.3821778,2019-12-24 21:15:37.206673,A35IE#####BPL9
respNF:OP0Mt,ai_much_worse,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,19,1577218734.907039,1577218754.0092382,1577218754.009812,2019-12-24 21:19:42.072613,A1BIJ#####0GME
respNF:AOsdC,ai_sligthly_worse,5,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,20,1577219100.6192763,1577219120.3304298,1577219120.3310382,2019-12-24 21:25:39.736993,A3HSF#####0EO8
