min_offer,min_offer_dss,feedback_ai_offers,feedback_fairness_against_ai,min_offer_final,resp_time_spent,job_id,worker_id,status,updated,resp_worker_id,ai_offer,model_type
55,75,7,1,75,14,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####1717e7ce-4408-4766-8e62-d7c2e54a5df0,judged,1625164214.2546823,A1ET0#####1YJJ,50,real
0,0,4,2,0,27,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####0b6506c0-d5aa-4781-bcc2-9ba1781ee3dc,judged,1625165041.725485,A2F5Q#####7KF7,50,real
50,50,4,1,50,9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####0d9e5e1e-5752-4f1f-99d4-837ea7571d8d,judged,1625165666.0166907,A15T9#####3X7Q,50,real
40,30,5,6,30,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####a2cca62d-53cf-4f54-a317-b9a2cc4b8863,judged,1625165725.3769872,A10IW#####H7AN,50,real
50,50,6,6,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####6238bf6c-7b11-4d42-a206-75c6796a8b45,judged,1625165876.3370905,A3KK1#####0N1Z,50,real
45,50,1,1,50,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####1d744096-c76c-4fdb-a704-c972e4310242,judged,1625166046.6197643,A90B6#####6OY,50,real
50,50,6,5,50,21,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####6033a583-31e4-4601-b5b8-7fbfad3d2b94,judged,1625166058.123258,A1UIE#####QLH4,50,real
25,25,3,4,25,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####3aa3603c-f851-4db7-8c74-a8608155765e,judged,1625166058.6384044,A1VXD#####97OF,50,real
55,50,6,6,50,27,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####2ebdc702-610f-4f38-8097-720df230cbb7,judged,1625166069.190644,A3O60#####DYB2,50,real
50,50,3,3,50,13,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####c5171fc9-d410-461c-ad9d-891fb371ae1a,judged,1625166190.2662501,ATJ92#####76Z,50,real
25,40,6,1,40,19,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####00ef24f2-74e4-4e27-9bfb-a3582e1440ed,judged,1625166221.4755213,A1BT5#####BIJY,50,real
100,100,3,4,100,28,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####d673edc6-bdc7-4f3a-99ed-8bdd9fe9fd8d,judged,1625166266.8615339,A1SXF#####M8SP,50,real
100,100,5,6,100,19,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####f8ef50c1-3269-49b1-86d3-b16950a162e6,judged,1625166293.5545146,A225T#####JEDX,50,real
50,50,5,3,50,14,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####64b96b7f-c8ec-42f1-8086-f54a2d462f1e,judged,1625166377.820484,ATCSO#####PPF,50,real
50,50,5,4,50,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####abaa343d-fa5b-400a-a65b-1df1603aa5d3,judged,1625166387.6437368,A3BOK#####J16O,50,real
30,30,4,1,30,5,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####f2f0b974-6823-4871-bde9-70bdb2a1fdf0,judged,1625166425.3192177,A304U#####1J89,50,real
40,45,6,1,45,36,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####7ae32373-f7cf-418d-b959-90deb262f536,judged,1625166563.332855,A3DM8#####DGR,50,real
