min_offer,time_start,timestamp,time_stop,time_start_dss,time_stop_dss,min_offer_dss,feedback_alternative,feedback_fairness,feedback_accuracy,feedback_ai_offers,feedback_fairness_against_ai,completion_code,min_offer_final,resp_time_spent,job_id,worker_id
55,1625164161.8366838,2021-07-01 18:30:13.494633,1625164175.8317518,1625164176.3809636,1625164189.3962684,75,7,1,7,7,1,respNF:h67qP,75,14,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,A1ET0#####1YJJ
0,1625164971.5387893,2021-07-01 18:44:01.253701,1625164998.9148414,1625164999.1264281,1625165018.106685,0,1,2,2,4,2,respNF:2xhZg,0,27,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,A2F5Q#####7KF7
50,1625165625.7268648,2021-07-01 18:54:25.528456,1625165634.3016818,1625165634.479559,1625165650.0961614,50,1,1,4,4,1,respNF:pTpvA,50,9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A15T9#####3X7Q
40,1625165697.049124,2021-07-01 18:55:24.925068,1625165707.5562634,1625165707.7014568,1625165715.939203,30,4,5,5,5,6,respNF:IF33E,30,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A10IW#####H7AN
50,1625165852.4667244,2021-07-01 18:57:55.806607,1625165862.714358,1625165862.9217749,1625165867.4437006,50,5,5,5,6,6,respNF:RdQ7W,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3KK1#####0N1Z
45,1625165954.8769505,2021-07-01 19:00:46.162855,1625165976.6217966,1625165976.9958992,1625165992.134011,50,5,6,4,1,1,respNF:Q1vr9,50,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A90B6#####6OY
50,1625166008.4472427,2021-07-01 19:00:57.612725,1625166029.1264796,1625166029.2801127,1625166042.5537775,50,6,6,5,6,5,respNF:NqvnT,50,21,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1UIE#####QLH4
25,1625165939.4624038,2021-07-01 19:00:58.182158,1625165953.0845418,1625165953.2567198,1625165979.2235725,25,2,2,5,3,4,respNF:3IYHQ,25,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1VXD#####97OF
55,1625165993.032376,2021-07-01 19:01:08.795136,1625166019.9412887,1625166020.3080947,1625166046.9261427,50,6,7,6,6,6,respNF:x0Pqs,50,27,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,A3O60#####DYB2
50,1625166110.4436986,2021-07-01 19:03:09.759688,1625166123.7192805,1625166124.4995136,1625166154.1133118,50,2,4,5,3,3,respNF:8nS0m,50,13,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,ATJ92#####76Z
