gender,age,ethnicity,income,education,proposer,responder,money_division,code_resp_prop,code_cpc,code_risk,code_exp,code_cc,code_ras,test,feedback,proposer_responder,timestamp,worker_id,job_id,completion_code
,,,,,incorrect1,incorrect1,correct,t,,,,,,ball,NICE,incorrect1,2021-07-01 18:03:55.003257,AJBJC#####F2I,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,dropped
,,,,,incorrect1,correct,correct,,,,,,,ball,,correct,2021-07-01 18:17:50.259048,A156U#####I5JV,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,dropped
male,2635_years,white,I earn nearly equal incomes from crowdsourced microtasks and other job(s),bachelor_degree,correct,correct,correct,respNF:h67qP,,,,,,ball,very interesting task,correct,2021-07-01 18:31:46.933960,A1ET0#####1YJJ,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,t30:sWZ8S
female,2635_years,black_or_african_american,Secondary source of income,high_school_degree,correct,correct,correct,respNF:2xhZg,,,,,,ball,No additional comments by me.,correct,2021-07-01 18:44:34.079052,A2F5Q#####7KF7,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,t30:jxkWs
,,,,,correct,correct,,,,,,,,ball,,correct,2021-07-01 18:50:02.158324,A2SJ6#####8278,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,dropped
male,3645_years,hispanic_latino,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:pTpvA,,,,,,ball,none,correct,2021-07-01 18:54:54.506008,A15T9#####3X7Q,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:vXArq
female,1825_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:IF33E,,,,,,ball,Good survey,correct,2021-07-01 18:56:13.212327,A10IW#####H7AN,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:A6iAh
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 18:57:37.547460,AGBSA#####QHL,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,2635_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:RdQ7W,,,,,,ball,,correct,2021-07-01 18:58:18.038732,A3KK1#####0N1Z,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:Lo3V8
female,2635_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:3IYHQ,,,,,,ball,,correct,2021-07-01 19:01:49.709419,A1VXD#####97OF,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:bqRMW
male,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:NqvnT,,,,,,ball,nice,correct,2021-07-01 19:02:10.139401,A1UIE#####QLH4,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:CAG8y
female,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:Q1vr9,,,,,,ball,great survey. ,correct,2021-07-01 19:02:20.018457,A90B6#####6OY,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:Qw5N7
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:8nS0m,,,,,,ball,,correct,2021-07-01 19:03:49.763772,ATJ92#####76Z,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,t30:LPJIq
female,2635_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:x0Pqs,,,,,,ball,nice task.,correct,2021-07-01 19:04:01.681764,A3O60#####DYB2,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,t30:KZQam
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 19:04:10.933498,A2PVZ#####RKA1,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,white,Primary source of income,doctorate_degree,correct,correct,correct,respNF:6wqVv,,,,,,ball,Nice survey,correct,2021-07-01 19:05:20.343939,A1SXF#####M8SP,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:5G02j
,,,,,correct,correct,incorrect2,,,,,,,,,correct,2021-07-01 19:05:26.045864,A1F7F#####L05T,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:dwG6c,,,,,,ball,,correct,2021-07-01 19:05:34.697168,A1BT5#####BIJY,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:fAMMb
male,2635_years,hispanic_latino:white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:YAQsb,,,,,,ball,this is really good and intersting,correct,2021-07-01 19:05:46.638185,A225T#####JEDX,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:FSn4T
female,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:k6qwK,,,,,,ball,,correct,2021-07-01 19:06:53.027491,ATCSO#####PPF,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,t30:RmnP7
male,3645_years,hispanic_latino,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:LqlcE,,,,,,ball,Interesting,correct,2021-07-01 19:07:16.485136,A3BOK#####J16O,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:np5BQ
,,,,,correct,incorrect2,incorrect1,,,,,,,ball,,incorrect1,2021-07-01 19:08:07.348109,A14KB#####TVHJ,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,2635_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:HXNWT,,,,,,ball,none ty,correct,2021-07-01 19:08:13.608920,A304U#####1J89,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:avhGF
,,,,,correct,correct,incorrect2,,,,,,,,,correct,2021-07-01 19:10:37.622729,AGD1X#####DQI,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,incorrect2,incorrect1,incorrect1,,,,,,,,,incorrect2,2021-07-01 19:10:40.000345,AXUTI#####5G5,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,5665_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:m60hN,,,,,,ball,,correct,2021-07-01 19:10:44.078325,A1P2R#####S5BT,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:qSFFF
female,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:BTHwP,,,,,,ball,Nothing,correct,2021-07-01 19:10:59.479881,ACEH0#####N3K,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:aJena
male,2635_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:EP5Xn,,,,,,ball,,correct,2021-07-01 19:11:28.720400,A37XB#####33FE,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:7t7km
,,,,,correct,correct,incorrect1,,,,,,,,,correct,2021-07-01 19:11:32.306826,A1JWF#####XQKU,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,correct,correct,incorrect2,,,,,,,ball,GOOD,incorrect1,2021-07-01 19:11:33.810301,A3FJ0#####J4JW,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,2635_years,black_or_african_american,Primary source of income,high_school_degree,correct,correct,correct,respNF:g4jtk,,,,,,ball,,correct,2021-07-01 19:11:50.712565,A3P57#####KNCE,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:rO8gi
female,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:taqI3,,,,,,ball,nice,correct,2021-07-01 19:12:28.606157,A24PR#####KGO3,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:3We4h
female,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:1aIWY,,,,,,ball,good,correct,2021-07-01 19:12:43.347000,A1M2O#####DO0U,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:XhD5Q
male,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:9YW2K,,,,,,ball,NONE,correct,2021-07-01 19:13:37.087937,A292N#####O16T,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:ga6Qy
male,1825_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:6BjB8,,,,,,ball,,correct,2021-07-01 19:13:46.728265,AK6Y1#####T3A,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:zG6JR
male,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:TVT7F,,,,,,ball,,correct,2021-07-01 19:14:21.768111,A1XYT#####DKRT,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:rFydS
female,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct, respNF:pC8De ,,,,,,ball,nice,correct,2021-07-01 19:15:28.602454,A31VL#####Y6OR,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:Cy3Ff
male,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:Fkuyn,,,,,,ball,,correct,2021-07-01 19:16:02.506946,A3O2S#####SLG5,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:NNLUb
female,4655_years,white,Primary source of income,bachelor_degree,correct,correct,correct,respNF:zGtEo,,,,,,ball,Good.,correct,2021-07-01 19:17:26.851488,AKFFO#####FJ6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:1kePW
female,4655_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:1FBqN,,,,,,ball,,correct,2021-07-01 19:18:00.146405,A2U45#####P7D8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:syjt6
,,,,,correct,correct,incorrect2,,,,,,,ball,,correct,2021-07-01 19:18:00.627378,AFXXR#####PC6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:xKi0n,,,,,,ball,,correct,2021-07-01 19:19:08.916568,A92KV#####TU4,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:MH70h
female,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:B5QeK,,,,,,ball,Nothing,correct,2021-07-01 19:19:58.856926,A3TVW#####RCU,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:SYqkv
,,,,,correct,incorrect2,incorrect2,,,,,,,ball,good,incorrect1,2021-07-01 19:21:01.123811,ADAN6#####2AV,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,correct,incorrect1,incorrect2,,,,,,,ball,,incorrect1,2021-07-01 19:21:42.338851,A1KBK#####IL5A,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:yHM2l,,,,,,ball,Nothing,correct,2021-07-01 19:22:21.223777,AO3IL#####W7Y,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:cdLLB
,,,,,correct,correct,correct,dropped,,,,,,,,correct,2021-07-01 19:24:16.611708,A2VZS#####SYM8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,correct,incorrect2,incorrect2,,,,,,,,,incorrect1,2021-07-01 19:25:03.491023,A2CF1#####TLKA,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,2635_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:OIE6d,,,,,,ball,No issues,correct,2021-07-01 19:25:59.688194,A2NA6#####3KFH,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:TXd9d
,,,,,incorrect1,incorrect2,incorrect1,,,,,,,ball,,incorrect2,2021-07-01 19:26:40.103779,A1MMW#####BJG,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
