timestamp,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,ai_nb_calls,ai_calls_count_repeated,completion_code,feedback_understanding,feedback_alternative,feedback_explanation,feedback_accuracy,ai_calls_pauses,ai_calls_offers,ai_calls_acceptance_probability,ai_calls_best_offer_probability,job_id,worker_id,prop_worker_id,resp_worker_id,min_offer,model_type,resp_rowid,min_offer_dss,feedback_ai_offers,feedback_fairness_against_ai,min_offer_final,resp_time_spent,ai_offer
2021-07-01 21:06:02.254192,50,50,50,0,0,1,3,prop:ZcG1y,5,7,3,100_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####41578075-960b-418e-8ab5-7908ba0b6854,auto_#####41578075-960b-418e-8ab5-7908ba0b6854,A1PWX#####5754,35,real,5,55,7,6,55,17,50
2021-07-01 21:06:03.522444,50,50,50,0,0,1,3,prop:QBbp9,7,7,5,no_clue,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####8d99f639-8efe-43fc-8209-cd6a8c1bff5c,auto_#####8d99f639-8efe-43fc-8209-cd6a8c1bff5c,AIAMO#####CX8,5,real,6,5,6,5,5,19,50
2021-07-01 21:08:03.677203,50,50,50,0,0,1,3,prop:yPGTa,1,4,3,no_clue,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####a0e07180-4f98-4cfc-a640-933854dabceb,auto_#####a0e07180-4f98-4cfc-a640-933854dabceb,A33S7#####GYDR,70,real,7,70,5,6,70,14,50
2021-07-01 21:09:10.424252,50,50,50,0,0,1,3,prop:lSSkQ,6,2,3,80_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####bb3ade8e-34ae-4a13-8c2d-8fea0cdc7757,auto_#####bb3ade8e-34ae-4a13-8c2d-8fea0cdc7757,A1O57#####1PNZ,40,real,8,40,5,4,40,21,50
2021-07-01 21:09:47.170879,50,50,50,0,0,1,3,prop:23DGZ,5,7,6,100_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####5a82c5c6-9bf6-4a7e-a568-00f724a83560,auto_#####5a82c5c6-9bf6-4a7e-a568-00f724a83560,A2WAT#####2829,20,real,9,60,6,5,60,16,50
2021-07-01 21:09:50.968703,50,50,50,0,0,1,3,prop:6lMb4,3,3,6,20_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####9c852a84-a60a-433c-a6b0-1389232f06bd,auto_#####9c852a84-a60a-433c-a6b0-1389232f06bd,A3T5U#####BVTA,100,real,10,100,1,1,100,8,50
2021-07-01 21:11:04.804131,50,50,50,0,0,1,3,prop:MlASl,1,7,5,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####7dd56afb-549f-4c9c-a929-57ef86914d8e,auto_#####7dd56afb-549f-4c9c-a929-57ef86914d8e,A31C3#####71VX,50,real,11,50,7,4,50,24,50
2021-07-01 21:11:40.925761,50,50,50,0,0,1,3,prop:vsEu4,6,7,1,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####8e46a225-d874-46f8-acc1-28495ae34482,auto_#####8e46a225-d874-46f8-acc1-28495ae34482,AGC30#####IR4,50,real,12,40,3,6,40,6,50
2021-07-01 21:12:05.936631,50,50,50,0,0,1,3,prop:nGhro,6,3,4,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####8fe070a4-599b-4a88-96fa-e3fdd1529172,auto_#####8fe070a4-599b-4a88-96fa-e3fdd1529172,A16KI#####TTKL,20,real,13,20,4,1,20,19,50
2021-07-01 21:12:23.270232,50,50,50,0,0,1,3,prop:fwtn9,4,7,3,20_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####1d405152-e3c0-493c-ac9a-137a5e193571,auto_#####1d405152-e3c0-493c-ac9a-137a5e193571,A1CMG#####W17P,25,real,14,75,6,5,75,10,50
2021-07-01 21:12:37.186066,50,50,50,0,0,1,3,prop:AYqjM,1,3,2,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####bb427140-1db2-47eb-aeff-117bf6bb7dcf,auto_#####bb427140-1db2-47eb-aeff-117bf6bb7dcf,A3CNC#####6Z2U,50,real,15,40,5,1,40,16,50
2021-07-01 21:12:49.245256,50,50,50,0,0,1,3,prop:z6bP0,5,7,4,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####6d4b2d23-0477-440d-aa4e-b562a0177e2e,auto_#####6d4b2d23-0477-440d-aa4e-b562a0177e2e,A39VV#####LMFD,50,real,16,50,5,4,50,19,50
2021-07-01 21:13:12.829440,50,50,50,0,0,1,3,prop:k8ujl,5,2,3,80_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####0060537a-90e9-488b-8d9b-c2ec2929737f,auto_#####0060537a-90e9-488b-8d9b-c2ec2929737f,A1DT7#####SK0K,50,real,17,50,4,2,50,13,50
2021-07-01 21:14:01.594050,50,50,50,0,0,1,3,prop:NUsmB,5,7,7,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####269ed455-ae31-4dbd-8410-fff3539c08f9,auto_#####269ed455-ae31-4dbd-8410-fff3539c08f9,A28H0#####HSK3,25,real,18,40,3,3,40,14,50
2021-07-01 21:14:04.660008,50,50,50,0,0,1,3,prop:W2itV,3,6,3,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####47411fd5-48cf-4ce7-8d98-fb3d629ba4db,auto_#####47411fd5-48cf-4ce7-8d98-fb3d629ba4db,A1QUQ#####VD4C,45,real,19,30,4,3,30,5,50
2021-07-01 21:14:39.488128,50,50,50,0,0,1,3,prop:nB8vY,6,6,5,20_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####a655d4dc-9044-48e5-bb45-8db366c30c28,auto_#####a655d4dc-9044-48e5-bb45-8db366c30c28,A2D5Q#####7ZQ5,40,real,20,45,4,1,45,30,50
2021-07-01 21:16:53.544546,50,50,50,0,0,1,3,prop:Tg6cT,7,5,1,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####e449e12e-764c-4934-b900-a5b33521da4a,auto_#####e449e12e-764c-4934-b900-a5b33521da4a,A3BSK#####E876,40,real,21,50,5,5,50,15,50
2021-07-01 21:17:12.649365,50,50,50,0,0,1,3,prop:BCI3S,1,7,3,80_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####bfd801ca-625f-48f0-ae4e-7f2c5012e056,auto_#####bfd801ca-625f-48f0-ae4e-7f2c5012e056,A2C6X#####CW98,100,real,22,85,5,6,85,12,50
2021-07-01 21:17:19.033472,50,50,50,0,0,1,3,prop:CT43F,3,3,6,80_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####dbee5cb0-7f27-42f9-a28d-8534f519f65b,auto_#####dbee5cb0-7f27-42f9-a28d-8534f519f65b,A9TVA#####Z4S,50,real,23,35,7,6,35,136,50
2021-07-01 21:17:34.446643,50,50,50,0,0,1,3,prop:LKQxP,4,3,5,100_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####45c09937-94af-4c0c-a947-07d69cabbb73,auto_#####45c09937-94af-4c0c-a947-07d69cabbb73,A949V#####9,50,real,24,50,5,5,50,15,50
2021-07-01 21:18:06.157737,50,50,50,0,0,1,3,prop:h8GZ3,4,3,2,100_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####bca22149-ec22-4d2d-aca9-8d655293cbc1,auto_#####bca22149-ec22-4d2d-aca9-8d655293cbc1,ADQHG#####J08,50,real,25,40,4,1,40,46,50
2021-07-01 21:18:09.526074,50,50,50,0,0,1,3,prop:BlaI0,7,2,5,no_clue,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####afee737e-9d90-451d-8a3b-df0e1b2012c7,auto_#####afee737e-9d90-451d-8a3b-df0e1b2012c7,A34J7#####XTSS,50,real,26,50,4,2,50,15,50
2021-07-01 21:18:16.753428,50,50,50,0,0,1,3,prop:Z0DgQ,7,3,4,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####3bdd4464-95e1-4e09-b97c-2f6722b19f3f,auto_#####3bdd4464-95e1-4e09-b97c-2f6722b19f3f,AHQ1C#####8VT,50,real,27,50,7,5,50,8,50
2021-07-01 21:19:27.278182,50,50,50,0,0,1,3,prop:iD0BL,1,1,4,no_clue,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####6fd5d8a7-1c05-4c25-a29e-40f9fe0cc71c,auto_#####6fd5d8a7-1c05-4c25-a29e-40f9fe0cc71c,A17AF#####NH9C,40,real,28,35,2,5,35,25,50
2021-07-01 21:19:34.831053,50,50,50,0,0,1,3,prop:ZGKxN,7,5,5,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####9b9b1622-3b3d-4167-8f38-8c19b37dc512,auto_#####9b9b1622-3b3d-4167-8f38-8c19b37dc512,A14UV#####L4V4,50,real,29,40,3,2,40,14,50
2021-07-01 21:20:15.849991,50,50,50,0,0,1,3,prop:LjCrA,4,5,6,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####7b8d3c57-5d3a-4548-a2d0-debe5bf53a6a,auto_#####7b8d3c57-5d3a-4548-a2d0-debe5bf53a6a,A3FMB#####GSV1,30,real,30,40,4,7,40,20,50
2021-07-01 21:20:20.296778,50,50,50,0,0,1,3,prop:InA3b,4,3,1,100_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####880fc311-e145-4cbe-b15c-bbb37d519683,auto_#####880fc311-e145-4cbe-b15c-bbb37d519683,A3VDG#####VYGQ,50,real,31,50,4,3,50,8,50
2021-07-01 21:20:39.030679,50,50,50,0,0,1,3,prop:BBeJI,5,2,4,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####734daa39-e6b2-41ac-87b6-b901119bb5d8,auto_#####734daa39-e6b2-41ac-87b6-b901119bb5d8,A1NLP#####BS4V,25,real,32,30,3,3,30,10,50
2021-07-01 21:20:47.776747,50,50,50,0,0,1,3,prop:LIGYF,6,6,6,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####0cd88357-623f-46dc-b2c9-db2d7c43f591,auto_#####0cd88357-623f-46dc-b2c9-db2d7c43f591,AZIDK#####REB,35,real,33,40,3,5,40,12,50
2021-07-01 21:21:06.126964,50,50,50,0,0,1,3,prop:zzqIE,4,2,7,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####e59cdb52-1105-47dd-ac97-a0d0106a5c67,auto_#####e59cdb52-1105-47dd-ac97-a0d0106a5c67,A33MY#####XOV2,45,real,34,45,6,1,45,10,50
2021-07-01 21:21:28.295985,50,50,50,0,0,1,3,prop:XNCJ5,4,3,2,0_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####511afd35-544b-4df4-aa54-ea93eb5119b5,auto_#####511afd35-544b-4df4-aa54-ea93eb5119b5,A16EL#####QD76,35,real,35,40,1,6,40,15,50
2021-07-01 21:22:07.878114,50,50,50,0,0,1,3,prop:Ko89n,7,3,7,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####b9517611-b11b-479a-bdd8-3dd4efd562b8,auto_#####b9517611-b11b-479a-bdd8-3dd4efd562b8,A1O67#####0ZHX,30,real,36,30,3,2,30,26,50
2021-07-01 21:22:15.227741,50,50,50,0,0,1,3,prop:Zfd5E,5,1,1,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####6c3fd187-4495-4bfb-b801-7b751ff7a6b3,auto_#####6c3fd187-4495-4bfb-b801-7b751ff7a6b3,A3FWY#####ESVH,50,real,37,50,4,5,50,22,50
2021-07-01 21:22:32.328287,50,50,50,0,0,1,3,prop:Q6sjm,3,4,2,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####98a2b5b6-8a83-4e43-bf0a-d3fd9807075f,auto_#####98a2b5b6-8a83-4e43-bf0a-d3fd9807075f,AWKP0#####BCC,50,real,38,50,4,4,50,11,50
2021-07-01 21:23:20.627442,50,50,50,0,0,1,3,prop:HGXQB,7,7,4,100_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####30097822-1f7e-4c94-a392-220b3aa5d250,auto_#####30097822-1f7e-4c94-a392-220b3aa5d250,A276T#####TQ8Y,50,real,39,50,5,1,50,11,50
2021-07-01 21:23:26.126082,50,50,50,0,0,1,3,prop:ifWZw,7,4,5,no_clue,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####37d706ea-f4ba-4cdd-a638-ccf3f00d00dd,auto_#####37d706ea-f4ba-4cdd-a638-ccf3f00d00dd,A34CP#####X1PO,20,real,40,20,4,4,20,6,50
2021-07-01 21:23:27.256160,50,50,50,0,0,1,3,prop:j4H5R,3,6,2,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####78923f07-333c-44ec-be8d-90049e5ad7e4,auto_#####78923f07-333c-44ec-be8d-90049e5ad7e4,A2J6S#####GXTW,50,real,41,50,4,5,50,12,50
2021-07-01 21:23:28.302419,50,50,50,0,0,1,3,prop:vIXAB,4,1,7,20_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####4b09537a-a81f-45ff-b381-0b0925fff5b8,auto_#####4b09537a-a81f-45ff-b381-0b0925fff5b8,AVOF1#####25D,30,real,42,25,3,5,25,10,50
2021-07-01 21:23:44.664066,50,50,50,0,0,1,3,prop:AcVrU,2,4,6,40_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####cf0fb2d9-3479-4c4a-9fd2-ef5b2c8cbb98,auto_#####cf0fb2d9-3479-4c4a-9fd2-ef5b2c8cbb98,A2M8H#####2F,60,real,43,80,3,6,80,35,50
2021-07-01 21:24:02.622500,50,50,50,0,0,1,3,prop:Q34ru,6,4,6,60_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####a3a210ea-ad5b-4c35-8693-a03417d57abb,auto_#####a3a210ea-ad5b-4c35-8693-a03417d57abb,A31KV#####LOEM,75,real,44,100,5,2,100,18,50
2021-07-01 21:24:09.224150,50,50,50,0,0,1,3,prop:H4SiQ,2,6,7,no_clue,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####e04a48b7-a9e2-46e7-ab8f-619517de4a0f,auto_#####e04a48b7-a9e2-46e7-ab8f-619517de4a0f,A1JEA#####AT82,50,real,45,40,1,6,40,8,50
2021-07-01 21:24:27.561368,50,50,50,0,0,1,3,prop:SWV6d,5,7,4,20_percent,0,0,0.0069,0.0489,3GMLHYZ0MH317YUKZLKQSWERCTMUYH,auto_#####fe7bfd5f-79e7-4820-9a6e-9348d5a197ef,auto_#####fe7bfd5f-79e7-4820-9a6e-9348d5a197ef,AZ8KL#####S7G,50,real,46,40,4,3,40,12,50
